Genome	X4_cov.Mean	X1_cov.Mean	X2_cov.Mean	X3_cov.Mean	X104_cov.Mean
bin.0000	2.8103328	3.7459538	7.166167	2.6769238	2.0635712
bin.0001	3.6348462	6.44012	7.0264606	2.6419477	1.5138626
bin.0002	13.007208	9.254811	53.74027	18.151497	15.714933
bin.0003	3.376067	4.070791	6.970824	2.7774265	2.4851148
bin.0004	24.88737	35.904594	90.86101	31.436855	26.558992
bin.0005	2.503286	4.234685	4.781468	1.949673	1.5513234
bin.0006	391.5364	587.2902	676.01575	260.1384	193.43105
bin.0007	3.5690675	4.3013906	9.591742	3.7288222	3.5435367
bin.0008	2.997787	3.2517073	7.6461616	2.6795907	2.3557048
bin.0009	205.6365	240.51898	477.60614	176.48907	128.08687
bin.0010	15.811776	16.803864	29.337545	11.499719	8.172072
bin.0011	13.274547	16.310434	25.698465	9.60281	6.517264
bin.0012	2.8246098	4.2163396	12.235832	4.127998	3.7188663
bin.0013	1.6667223	3.3561664	2.7879503	1.0695493	0.5627807
bin.0014	51.44717	68.92528	94.274506	36.01673	22.877611
bin.0015	4.481222	5.728593	10.472391	3.9025347	2.9190361
bin.0016	66.085464	100.72399	138.70345	52.79437	28.96458
bin.0017	3.5212932	5.223421	7.3066545	2.678787	1.2180833
bin.0018	10.67958	8.387482	26.891695	10.027466	7.682644
bin.0019	2.7612226	5.396216	6.653636	2.4348176	1.7342222
bin.0020	4.1848383	5.0877132	10.535	3.7550097	2.5140297
bin.0021	4.197139	4.9808517	7.35305	2.7189705	2.3256686
bin.0022	7.127544	7.965455	13.226652	5.194703	3.4341881
bin.0023	7.6402535	3.9472299	23.013912	7.9671674	7.4083967
bin.0024	6.245725	8.575388	13.360445	5.172793	3.9848285
bin.0025	62.331734	66.51039	127.4334	48.3855	37.835236
bin.0026	29.83338	29.922228	58.835987	23.350487	19.70807
bin.0027	2.4720545	3.1677866	5.035017	1.8020328	1.4931034
bin.0028	3.3567493	6.733433	8.978408	3.0508852	2.705414
bin.0029	4.4677496	4.6822214	8.571584	3.2476943	2.5227196
bin.0030	25.559624	17.051119	38.74718	14.264715	10.294825
bin.0031	7.777896	10.645969	17.5996	6.360787	5.3314342
bin.0032	17.119617	27.583477	49.66811	17.993315	13.170073
bin.0033	8.449232	8.618992	15.678673	6.161374	3.994212
bin.0034	7.300715	8.201675	15.105364	5.3630743	3.4952788
bin.0035	4.486929	4.0667253	9.124696	3.535682	2.730769
bin.0036	5.9608784	6.0202956	12.879911	4.9852533	3.4537506
bin.0037	6.7412214	8.252568	13.044655	4.8679485	2.8063533
bin.0038	8.231891	11.113709	15.444795	6.094698	3.911012
bin.0039	34.090183	17.160221	106.098045	37.764885	34.871693
bin.0040	7.576649	9.415992	18.538187	6.6622176	5.179585
bin.0041	4.5290494	5.7857003	9.631968	3.6827438	1.3316103
bin.0042	2.180594	5.434312	5.8461723	2.3896616	1.7471324
bin.0043	1.1429336	3.0551894	2.36977	0.7663858	0.5656885
bin.0044	4.6693287	4.6968136	21.84171	7.556618	7.009086
bin.0045	141.26768	164.44122	282.27353	106.541595	80.86265
