Genome	X2_cov.Mean	X4_cov.Mean	X1_cov.Mean	X3_cov.Mean	X104_cov.Mean
bin.0000	6.6285186	11.100107	16.303446	5.8785954	4.394535
bin.0001	2.0041208	2.5959268	4.2084484	1.3293041	1.2346957
bin.0002	3.2656343	3.9146128	6.5996857	2.4627151	1.2055432
bin.0003	65.46272	33.443264	187.55006	69.010376	67.429184
bin.0004	7.3009553	7.930379	13.3707285	5.1362386	3.404194
bin.0005	9.784422	13.185272	22.259468	8.020793	6.7004128
bin.0006	22.913185	38.618313	69.21441	25.422018	20.174664
bin.0007	7.5968513	11.2823925	18.60288	6.822963	5.194137
bin.0008	5.996098	4.4225445	25.207693	8.547766	8.208981
bin.0009	5.2408967	9.1527605	12.421096	4.582985	2.7824793
bin.0010	11.295308	12.180667	20.012121	7.5597186	4.9989033
bin.0011	51.998734	7.377381	147.16771	54.92085	69.483894
bin.0012	40.81935	46.995	74.24631	28.762346	20.296837
bin.0013	39.10025	25.255436	97.21278	36.937553	36.22971
bin.0014	1.5641788	1.7145581	4.3310986	1.1890149	0.83113474
bin.0015	2.717872	2.8479002	6.5812182	2.2173915	1.6664112
bin.0016	25.691395	7.9523582	129.08643	43.80469	49.788883
bin.0017	4.408585	5.0111127	9.75842	3.6422112	2.6991224
bin.0018	260.82416	211.5973	778.267	280.42212	252.52956
bin.0019	2.3527062	2.8800333	4.962834	1.8895326	1.0191865
bin.0020	5.977824	3.3877454	35.604122	11.681536	14.573307
bin.0021	0.7256899	0.4786624	4.670846	1.3175589	1.0312202
bin.0022	2.8734305	3.7657657	4.9921527	1.8244579	1.1053991
bin.0023	6.530708	8.135544	13.412364	5.3716073	3.4011045
bin.0024	2.220836	1.5878158	5.9452863	2.0506306	2.2341647
bin.0025	1.6332965	0.99548703	6.057469	1.7643638	1.1431609
bin.0026	2.2175834	1.2178774	5.2046967	1.5457741	1.430168
bin.0027	5.3035617	5.272632	10.953425	4.0372066	2.9112854
bin.0028	3.2845793	4.046443	6.9988346	2.6653097	2.091363
bin.0029	5.0675106	5.6323667	10.22598	3.9492474	1.767468
bin.0030	8.345127	10.9007225	15.532183	6.0657415	3.8488421
bin.0031	1.5816903	1.406076	5.2911286	1.6463674	0.78641737
bin.0032	6.481366	7.650164	13.67708	5.153966	3.887869
bin.0033	3.494816	2.5060737	17.823875	5.8176394	4.184232
bin.0034	1.8326073	1.7672652	5.556517	1.5517159	1.6980807
bin.0035	3.1186795	3.1917267	8.072565	2.675777	1.6851497
bin.0036	6.7561946	8.316409	13.037688	4.832627	2.7621086
bin.0037	2.0131426	1.2743948	5.6191163	1.8144569	1.6906784
bin.0038	3.1184704	3.0094137	6.3698263	2.121236	1.9356202
bin.0039	6.4382863	9.329899	11.835216	4.1271396	2.5740833
bin.0040	384.62366	553.3019	648.21466	248.39195	184.50093
bin.0041	78.77581	95.25333	147.14803	55.657623	36.729027
bin.0042	5.1410193	3.4698727	13.097089	4.9241166	4.284792
bin.0043	35.623215	21.227156	173.21202	59.02025	57.61085
bin.0044	1.740259	2.0510764	4.336268	1.3707196	0.5196653
bin.0045	19.240238	16.93118	38.777504	14.454509	11.032369
bin.0046	19.102356	29.039715	36.74061	13.934121	9.060781
bin.0047	1.8376052	2.8289175	4.55548	1.2460362	0.7131055
bin.0048	2.3259752	2.5108962	4.751245	1.5302559	1.2523627
bin.0049	9.531053	15.914185	24.787273	9.45755	6.4575777
bin.0050	2.6204257	3.1155722	5.0320544	1.672579	1.3535699
bin.0051	5.755363	9.251346	14.609612	5.336541	3.4275887
bin.0052	5.3588185	1.845964	27.192892	9.035963	6.90124
bin.0053	13.871407	11.764551	28.818203	11.08566	9.100773
bin.0054	38.90351	37.56187	69.29991	26.099075	18.308239
bin.0055	4.1798697	5.0394387	7.98117	3.0961325	1.6886677
bin.0056	1.8047901	2.0264559	5.265797	1.6911057	1.121286
bin.0057	192.70366	168.15517	478.64285	177.05765	148.16762
bin.0058	2.7875345	3.6226604	11.142799	3.9122906	3.5370665
bin.0059	2.7422016	4.4336615	6.0632567	2.4162307	1.2512656
bin.0060	2.659049	3.617509	5.2929163	1.872179	1.5020047
bin.0061	1.5178984	2.3900027	5.9749293	1.8780342	1.3383106
bin.0062	6.659406	8.464512	14.419166	5.5031295	4.2356977
bin.0063	2.2152882	5.3124776	5.9670706	2.3583496	1.743276
bin.0064	2.171319	2.7614155	5.788014	2.0370617	1.3181983
bin.0065	4.7004905	4.4280868	15.151558	5.425985	4.461534
bin.0066	2.6315374	2.5650098	5.523498	1.8995736	1.3004837
bin.0067	33.65413	16.771032	103.208626	36.88766	33.738403
bin.0068	2.4612167	0.31847095	6.149347	2.1044378	2.188573
bin.0069	11.02371	8.3506365	29.525864	10.609336	11.416225
bin.0070	2.933941	2.2099688	7.7864823	2.6606243	2.3780494
bin.0071	1.8762271	1.0896556	7.3420396	2.4011397	2.1128902
bin.0072	1.5944232	1.4174635	4.511244	1.2953467	0.9085423
bin.0073	6.946383	7.9227314	13.499622	5.1972494	3.5678148
bin.0074	14.483392	12.278527	28.81134	11.026681	9.734248
bin.0075	2.8866322	2.3785799	6.5938797	2.3697667	2.072507
bin.0076	18.203777	28.57454	32.01912	12.71725	12.604949
bin.0077	29.83611	29.88392	58.499664	23.187399	19.587898
bin.0078	3.298478	3.7230263	6.8610115	2.6660004	2.3625305
bin.0079	4.2800384	4.1057425	8.441896	3.0802696	2.4158168
bin.0080	3.3930745	4.5807343	7.06924	2.5463896	1.2441702
bin.0081	66.16488	65.20292	137.4437	51.82826	41.01619
bin.0082	3.2405198	4.462394	7.632875	2.917188	1.7336116
bin.0083	41.025887	46.49074	75.709915	29.00667	20.838661
bin.0084	2.336238	2.702837	4.8898864	1.6530718	1.6823938
bin.0085	14.21592	16.947731	27.657906	10.354982	7.081458
bin.0086	60.58401	72.37616	113.54066	42.836815	28.24936
bin.0087	0.9601499	1.9475249	3.8696277	1.1278433	1.0261341
bin.0088	3.6841168	4.011923	9.239763	3.286669	2.2589784
bin.0089	2.3525445	3.3718781	4.4618006	1.5837978	1.0773062
bin.0090	2.768281	2.7245116	5.98918	2.1292493	2.0111156
bin.0091	2.9645333	3.0957944	6.7526073	2.4087977	1.7991982
bin.0092	6.6752353	4.838461	19.069616	7.182058	5.7644253
bin.0093	3.2362106	2.5469213	6.8877707	2.562169	2.2360592
bin.0094	4.0780506	2.8952916	8.795019	3.2933233	2.683779
bin.0095	2.0432787	3.887837	6.1353593	2.1549494	1.3858025
bin.0096	6.621867	7.6160903	14.494909	5.603766	3.9461935
bin.0097	38.6631	61.899128	72.79339	27.429821	16.184149
bin.0098	4.921771	3.7647924	9.187804	3.1730742	2.6850224
bin.0099	1.3520002	1.2990296	5.081605	1.4797482	1.0111287
bin.0100	0.98588485	1.2916812	3.9485583	1.0626017	0.9546712
bin.0101	1.2337244	0.73219436	4.694064	1.4121159	1.2562016
bin.0102	56.98053	84.46885	98.18774	37.429417	21.537457
bin.0103	2.3217013	1.8701607	5.606668	1.8491111	1.6059921
bin.0104	7.1953454	2.5643995	20.759346	7.374174	6.6721992
bin.0105	16.435684	28.3362	43.544113	16.07067	11.333263
bin.0106	1.9382342	1.6512645	4.818394	1.6343906	0.99979496
bin.0107	4.3856497	2.2972467	15.322293	5.2473993	5.086134
bin.0108	36.66499	10.275763	136.16133	45.811348	41.73495
bin.0109	1.4244521	1.1268774	4.30681	1.2464228	0.9684051
bin.0110	10.1396675	8.335589	26.522472	9.76233	7.4490495
bin.0111	5.4463916	8.081516	8.385732	3.3446856	1.9961416
bin.0112	23.852156	29.13159	42.13889	16.419264	9.114842
bin.0113	0.9973988	0.25125062	4.5846243	1.2246519	0.97077
bin.0114	7.611402	15.192622	22.170652	7.718686	5.289562
bin.0115	2.1400793	1.113308	5.6662326	1.920438	2.3268328
bin.0116	15.124214	16.765324	28.44707	10.779112	8.032463
bin.0117	25.855492	35.908524	92.21281	31.951614	26.409563
bin.0118	14.063022	10.011802	57.712696	19.46055	16.821493
bin.0119	4.804215	4.161937	21.52059	7.5121956	6.9389143
bin.0120	3.476147	0.28403762	11.000773	3.9873002	5.130633
bin.0121	2.3005655	3.5921526	5.9142184	2.1110513	1.1177036
bin.0122	2.895053	2.156137	6.0538206	2.2467601	1.6447854
bin.0123	1.560162	1.107985	5.3047237	1.3480335	1.0825442
bin.0124	89.798676	147.2824	158.22855	60.283985	43.260715
bin.0125	3.1410484	3.0379374	7.133594	2.4593627	1.9679528
bin.0126	6.3259344	6.9795847	12.136247	4.595405	3.001741
bin.0127	1.4230947	1.8812274	4.4335794	1.2474576	0.8064555
bin.0128	7.825928	8.761823	14.825624	5.590224	4.2648277
bin.0129	7.375935	4.779259	17.667477	6.6604886	7.4335885
bin.0130	9.302939	10.686828	19.38255	7.3487124	5.081995
bin.0131	1.9070393	1.5433816	4.8786683	1.5749321	1.206247
bin.0132	2.3498988	2.3427136	5.0885897	1.6069952	1.3409555
bin.0133	178.73695	325.26196	423.4548	156.45598	144.30573
bin.0134	17.817013	15.429904	40.632877	15.186235	13.490057
bin.0135	1.334498	1.5354716	3.7438757	0.9282647	0.7275926
bin.0136	5.1784244	5.414644	14.249201	5.081553	3.8400116
bin.0137	6.244956	7.3302364	12.469523	4.506061	2.9613347
bin.0138	14.05286	6.636094	43.565403	15.814769	15.794403
bin.0139	6.2391567	8.232989	10.696138	4.116764	2.2075696
bin.0140	218.36844	251.42682	502.0265	185.1566	133.68079
bin.0141	7.6174946	8.589428	17.482037	6.4238453	5.0226226
bin.0142	5.3412576	6.0625863	22.15727	7.765051	5.9127
bin.0143	19.831282	28.362482	36.357216	13.618629	8.850379
bin.0144	1.5946453	1.9184434	4.7576075	1.4140458	1.2306963
bin.0145	1.8514813	1.1902541	5.045971	1.3996276	1.224185
bin.0146	8.070016	3.5227697	28.587923	9.663399	9.702812
bin.0147	5.243453	4.37458	10.970301	3.8014884	2.7487051
bin.0148	148.83067	173.30713	296.70383	112.28764	84.75747
bin.0149	5.2492633	6.192698	10.33883	3.7554512	2.585469
bin.0150	12.394829	21.265268	28.097284	10.369912	7.231741
bin.0151	2.692512	2.9453135	4.906516	1.5746832	0.96820104
bin.0152	15.784136	15.556823	30.314034	11.311206	7.366887
bin.0153	3.0787995	3.4713988	5.645998	1.9107554	1.0680043
