Genome	X2_cov.Mean	X4_cov.Mean	X1_cov.Mean	X3_cov.Mean	X104_cov.Mean
bin.0000	4.201263	5.159774	8.141368	3.1557	1.6976475
bin.0001	3.2601454	4.0451875	6.9973946	2.6584485	2.0897841
bin.0002	5.6998096	9.283235	14.672974	5.3586435	3.4466615
bin.0003	6.430181	7.5874877	13.569999	5.1354065	3.8727064
bin.0004	2.8866994	2.4127817	6.6210327	2.3804514	2.0586019
bin.0005	3.2049541	3.1184313	6.951116	2.47258	1.8482091
bin.0006	2.8360014	3.7118318	4.850084	1.7499378	1.0458637
bin.0007	2.9215662	2.2060797	7.7532735	2.7020376	2.3596828
bin.0008	1.5105194	2.4106743	5.9779925	1.8784345	1.3333789
bin.0009	3.3217325	4.826222	7.2809978	2.5633519	1.2610425
bin.0010	6.534492	8.152078	13.420742	5.3775997	3.403788
bin.0011	178.72507	325.24725	423.3439	156.42592	144.30154
bin.0012	5.356038	1.8483523	27.203148	9.037681	6.897344
bin.0013	3.18763	2.5338376	7.830492	2.4287846	1.8246737
bin.0014	67.2521	83.631	121.26794	45.473873	29.34023
bin.0015	7.192962	2.552461	20.75124	7.378797	6.6746035
bin.0016	1.1855397	1.0469027	3.7908149	0.89864135	0.6780212
bin.0017	218.49289	251.71815	502.225	185.25508	133.74304
bin.0018	89.79864	147.27196	158.23984	60.28439	43.27151
bin.0019	260.47583	211.42424	778.0889	280.2178	252.23117
bin.0020	7.566811	4.535606	17.764997	6.684664	7.31873
bin.0021	15.708127	15.578024	29.191336	10.902157	7.9811406
bin.0022	2.8851807	2.1813207	6.10841	2.2559	1.6512654
bin.0023	14.908554	21.35859	66.31263	23.525799	20.062284
bin.0024	62.520134	75.973816	129.3208	50.163494	49.902008
bin.0025	1.3504071	0.44507658	5.420757	1.5279893	1.6597811
bin.0026	3.4387882	0.28178847	11.013427	3.96997	5.1240096
bin.0027	2.4105957	2.7488108	5.133858	1.7746278	1.7497703
bin.0028	7.6687126	8.641119	14.544024	5.5314903	4.20381
bin.0029	2.345347	1.8093888	5.6253486	1.9104776	1.6076264
bin.0030	1.9782108	2.2036057	5.064338	1.6628625	0.9730286
bin.0031	9.73055	9.466729	20.250845	7.422337	5.5227127
bin.0032	3.4031339	3.0352058	6.5066004	2.202633	1.5831841
bin.0033	13.928351	6.689568	43.749935	15.870565	15.837305
bin.0034	6.057865	8.399297	10.526974	4.0981126	2.1462016
bin.0035	5.3037086	5.26741	10.948328	4.0540943	2.9125993
bin.0036	1.6229925	0.30720684	7.6930914	2.630883	2.7214758
bin.0037	4.2186146	3.284763	8.315993	3.1220472	2.3731642
bin.0038	6.610964	10.7824135	16.704021	6.0167394	4.6607575
bin.0039	3.2886024	3.9668746	6.602517	2.4581366	1.1839285
bin.0040	7.602039	11.497701	19.272888	7.1604257	4.94399
bin.0041	1.5486	1.870672	4.580302	1.3588448	1.1902269
bin.0042	5.332292	6.0570183	22.166897	7.7646284	5.910745
bin.0043	6.7528353	8.325909	13.040358	4.837109	2.7615783
bin.0044	1.8560543	2.8836317	4.4400516	1.3814018	0.7232389
bin.0045	14.486935	12.277947	28.811972	11.023088	9.736628
bin.0046	38.64549	61.89514	72.782	27.415752	16.183872
bin.0047	2.159486	2.5419674	4.7709055	1.7995462	0.92568547
bin.0048	19.207983	16.898756	38.7223	14.432364	11.014407
bin.0049	1.8660376	1.072782	7.3804436	2.4096665	2.1113925
bin.0050	17.444683	26.336353	33.33521	12.649375	8.20261
bin.0051	4.2500486	2.2193444	15.637147	5.3101535	5.2656636
bin.0052	8.350902	10.341055	20.418901	7.3566856	5.717996
bin.0053	3.3010836	4.5364757	7.719173	2.8513722	1.7388737
bin.0054	6.976938	7.5736985	13.228204	5.0424266	3.3511832
bin.0055	38.606407	37.382557	67.19786	25.415712	18.010166
bin.0056	5.338378	9.454548	11.694766	4.3635697	2.6606708
bin.0057	1.0568956	0.84372395	3.4838877	0.78526247	0.39835697
bin.0058	119.33764	71.730965	532.99536	186.01398	169.17052
bin.0059	5.88784	3.3194506	35.01371	11.4822855	14.323762
bin.0060	3.7154117	4.0604506	9.286236	3.329582	2.2762234
bin.0061	2.147303	3.9618318	7.1851263	2.3794062	1.7081586
bin.0062	0.95501715	1.9503807	3.8655794	1.1246771	1.0119764
bin.0063	2.6017737	2.94212	6.6780195	2.4180903	1.703462
bin.0064	25.06168	7.6632705	126.37452	43.01583	49.06072
bin.0065	1.6573671	1.6470197	5.3805175	1.5099459	1.6584257
bin.0066	4.9002986	6.1104946	11.340391	4.3316717	2.818087
bin.0067	69.39271	19.155788	275.58746	92.767586	88.137924
bin.0068	4.664389	5.6327233	9.867662	3.7952292	1.3080804
bin.0069	2.3555655	1.308866	6.5797453	2.2915897	1.9398377
bin.0070	15.067658	24.49841	40.732433	14.846445	10.6370735
bin.0071	5.134208	9.19101	12.413925	4.589267	2.7476208
bin.0072	2.3585455	3.6467466	5.9294367	2.0832248	1.1289382
bin.0073	1.1129857	0.9506484	3.6131263	0.73029083	0.46697584
bin.0074	1.9047261	1.6800271	4.731548	1.6311584	0.9994822
bin.0075	2.794801	3.6460268	11.143081	3.9037325	3.5336456
bin.0076	18.202738	28.568525	32.015972	12.719336	12.607217
bin.0077	39.270523	25.243948	98.8165	37.412357	36.72156
bin.0078	2.6866732	2.9635193	4.9323792	1.5601178	0.9420359
bin.0079	6.2917347	7.36785	12.503393	4.4952564	2.980761
bin.0080	10.241463	12.326179	25.132092	9.322977	5.2402205
bin.0081	58.17668	72.22439	103.49001	39.40149	25.141985
bin.0082	7.4414024	8.126243	13.61679	5.2345533	3.4792502
bin.0083	4.3160014	4.9613876	9.627798	3.5838315	2.6441338
bin.0084	4.3515477	5.2469664	10.079782	3.768685	2.8078456
bin.0085	54.736973	88.199356	99.853676	37.767296	21.393497
bin.0086	2.2690883	2.4931266	4.7024302	1.5131247	1.2409753
bin.0087	7.1171517	6.9338846	25.245085	8.924232	7.53788
bin.0088	40.7513	49.62787	73.447525	28.439156	19.900673
bin.0089	15.077534	16.725817	28.365637	10.74627	7.9923997
bin.0090	5.796945	5.265676	25.163013	8.796965	8.122427
bin.0091	5.4955726	9.181544	11.502319	4.4792323	2.502889
bin.0092	377.49887	542.26575	635.68304	243.86774	181.01833
bin.0093	9.304263	10.695539	19.375046	7.3361316	5.077399
bin.0094	11.089614	12.297307	19.503218	7.3104377	4.799285
bin.0095	1.9599823	2.5259526	4.197707	1.3327042	1.2261294
bin.0096	62.56579	87.36902	112.84259	42.64929	25.756231
bin.0097	3.71376	6.2114425	7.163575	2.60232	1.5567797
bin.0098	4.7289777	4.493067	15.26995	5.4715796	4.5067096
bin.0099	2.5459695	3.2468712	5.9315877	1.9501077	1.1701553
bin.0100	51.46651	7.217722	146.08015	54.50995	68.85506
bin.0101	7.4474244	14.556619	22.063955	7.707641	5.3605895
bin.0102	3.092218	3.0635593	7.126835	2.4449127	1.9488583
bin.0103	5.2043657	6.1640353	10.276403	3.7339983	2.5829518
bin.0104	5.75282	1.1715748	16.702564	6.212571	7.7075615
bin.0105	5.8652234	5.742975	12.584126	4.845653	3.3833928
bin.0106	1.0933841	0.43939325	5.8110995	1.8402979	1.6473261
bin.0107	2.808417	2.8862185	6.6002197	2.063952	1.2883828
bin.0108	1.3686091	0.9347584	5.317507	1.5816746	1.0428538
bin.0109	2.6401713	3.5996897	5.308051	1.8674293	1.5032803
bin.0110	4.0467362	2.9359252	8.808581	3.2599764	2.6841233
bin.0111	1.4186075	1.1323253	4.376567	1.1562937	0.9859743
bin.0112	4.3158464	4.085428	8.477954	3.0920482	2.4316802
bin.0113	3.0333164	6.6274343	8.346033	2.813289	2.506923
bin.0114	1.4850723	1.9382057	4.2635794	1.289334	0.86362416
bin.0115	2.002484	1.2729474	5.617699	1.811756	1.689967
bin.0116	7.5919714	11.323186	18.610355	6.8594995	5.21033
bin.0117	4.513603	4.1240196	9.485274	3.6774194	3.1340518
bin.0118	4.920267	3.781022	9.219718	3.1978753	2.672376
bin.0119	2.7073414	2.6650224	6.0305104	2.1381307	1.5041096
bin.0120	30.395355	17.12955	100.85805	35.37348	31.451948
bin.0121	10.138271	8.326308	26.513294	9.757438	7.4436345
bin.0122	2.3196378	3.3718266	4.4598503	1.5747335	1.0686263
bin.0123	24.582535	35.91914	78.61872	28.129814	23.557852
bin.0124	35.657005	21.240677	173.19388	59.002377	57.60882
bin.0125	21.696949	18.369192	49.671936	18.077719	17.86904
bin.0126	25.862957	35.974556	92.36528	32.054066	26.489029
bin.0127	3.0641413	3.473269	5.6480775	1.9073453	1.0641732
bin.0128	1.2320964	0.7032577	4.679317	1.4006263	1.2346729
bin.0129	5.991941	4.4231095	25.206661	8.547132	8.203893
bin.0130	7.332802	10.32147	12.637364	4.5672693	2.8375409
bin.0131	13.880697	11.828702	29.024817	11.15236	9.172968
bin.0132	3.7676227	2.9565606	7.9153585	2.7726805	2.253054
bin.0133	19.274826	27.526777	35.319168	13.210534	8.5739765
bin.0134	2.7239432	4.4508944	6.0744886	2.410525	1.2482327
bin.0135	12.057105	10.118083	32.9784	11.580291	9.75533
bin.0136	6.0599337	3.8991091	13.940732	5.3079524	4.5990415
bin.0137	6.3458343	5.0555844	17.71365	6.5045085	5.113611
bin.0138	10.905522	8.23128	29.279829	10.507762	11.312589
bin.0139	1.9080409	1.8912094	4.9784403	1.514907	1.0041867
bin.0140	32.55007	40.850548	60.01658	22.906712	15.094835
bin.0141	29.850391	29.907042	58.509335	23.189665	19.594454
bin.0142	5.0821276	5.278358	14.051438	4.981365	3.798183
bin.0143	10.160063	15.25028	21.145548	7.7903275	3.6431506
bin.0144	8.302468	10.845353	15.49891	6.0568485	3.8331254
bin.0145	2.127605	1.0873241	5.664965	1.8831458	2.3320475
bin.0146	16.062603	24.806303	47.077927	16.661644	11.270236
bin.0147	1.8898311	1.5584693	4.8699074	1.58073	1.1975336
bin.0148	6.9374924	7.9212513	13.506348	5.1892357	3.5647502
bin.0149	1.7516774	2.049837	4.3518095	1.3874649	0.5163266
bin.0150	3.219761	2.578998	6.8425994	2.5472662	2.2340136
