Genome	X2_cov.Relative.Abundance....	X4_cov.Relative.Abundance....	X3_cov.Relative.Abundance....	X1_cov.Relative.Abundance....	X104_cov.Relative.Abundance....
bin.0000	0.2953196	0.3096259	0.2695759	0.2851171	0.32336837
bin.0001	0.30320954	0.29974833	0.24517752	0.2531261	0.2062651
bin.0002	0.14814241	0.09098707	0.18037638	0.17161384	0.17120919
bin.0003	1.0252824	0.07791197	1.0033776	1.0135013	1.5636363
bin.0004	0.14853549	0.10372361	0.11881261	0.1263918	0.11817647
bin.0005	0.48645994	0.5000206	0.6003307	0.57700074	0.57944226
bin.0006	4.9644475	4.477499	6.483743	6.4412284	7.104271
bin.0007	1.7149773	3.0242722	1.2845458	1.349223	1.1729314
bin.0008	0.16970901	0.13581957	0.13992171	0.13875052	0.12771834
bin.0009	0.29266515	0.3190951	0.23152852	0.24694449	0.22597864
bin.0010	0.14711301	0.058526862	0.08309798	0.08379299	0.07238042
bin.0011	1.4256444	2.2182403	1.2425091	1.2927686	0.87390214
bin.0012	0.15426546	0.13390131	0.10529448	0.109613076	0.10406051
bin.0013	0.11203098	0.07184333	0.06006986	0.05879043	0.042099018
bin.0014	0.1062463	0.04322125	0.050879564	0.051598474	0.048273757
bin.0015	0.62660336	0.78000695	0.4894379	0.50687754	0.40819216
bin.0016	1.0989426	1.0884023	0.64563626	0.6624274	0.5113488
bin.0017	0.76076704	0.8078826	0.5725761	0.59567446	0.516107
bin.0018	0.22475706	0.13489915	0.12914532	0.13004223	0.1447534
bin.0019	0.6604505	0.25550714	0.703627	0.6715618	0.71937335
bin.0020	0.166411	0.11934625	0.123027205	0.12285388	0.103574865
bin.0021	0.11768073	0.052016377	0.056762706	0.055298213	0.046723127
bin.0022	0.22484116	0.08156548	0.098761484	0.10559849	0.110638194
bin.0023	1.1986398	1.1520629	0.7607094	0.79281306	0.634278
bin.0024	1.3436352	1.2668364	1.1470106	1.1847548	1.1630359
bin.0025	0.2050753	0.100856096	0.11613757	0.11527253	0.10546612
bin.0026	0.27455568	0.14016122	0.37043607	0.37191102	0.4590549
bin.0027	1.8657794	2.6931927	1.7618674	1.832056	1.5521264
bin.0028	1.3323439	0.43225133	1.3432201	1.347237	1.6249739
bin.0029	0.14711022	0.08811648	0.0899198	0.092320606	0.08950733
bin.0030	0.14504655	0.03512377	0.15130031	0.1466375	0.16451053
bin.0031	0.11602013	0.035898205	0.040073585	0.04066887	0.031224862
bin.0032	0.1995854	0.26302263	0.14005956	0.14977361	0.14052609
bin.0033	0.22086282	0.23903532	0.23967783	0.2380963	0.16574377
bin.0034	0.11608985	0.061615203	0.059074264	0.05809879	0.049507607
bin.0035	0.5679024	0.59816444	0.47339544	0.5177318	0.53065735
bin.0036	0.17341076	0.050457124	0.24037029	0.22299518	0.27877092
