Genome	X2_cov.Relative.Abundance....	X4_cov.Relative.Abundance....	X1_cov.Relative.Abundance....	X3_cov.Relative.Abundance....	X104_cov.Relative.Abundance....
bin.0000	0.0834689	0.09492308	0.063615344	0.06802134	0.044882916
bin.0001	0.06477118	0.07441831	0.054676518	0.057303045	0.05525034
bin.0002	0.11324139	0.17078137	0.11465227	0.11550594	0.09112387
bin.0003	0.1277521	0.13958514	0.106033795	0.11069406	0.102387786
bin.0004	0.057351712	0.044387348	0.051735684	0.0513108	0.054425932
bin.0005	0.063674666	0.057369005	0.054314908	0.053296633	0.048863508
bin.0006	0.05634446	0.068285644	0.03789778	0.037720036	0.027650861
bin.0007	0.058044434	0.040584702	0.06058284	0.058242615	0.062386006
bin.0008	0.030010354	0.044348575	0.046711076	0.040489793	0.035252273
bin.0009	0.06599476	0.08878681	0.056892548	0.05525323	0.03333982
bin.0010	0.12982449	0.14997174	0.104867525	0.115914546	0.08999038
bin.0011	3.5508332	5.9834933	3.3079417	3.371772	3.8150876
bin.0012	0.10641147	0.034003682	0.21256104	0.19480784	0.18235406
bin.0013	0.06333047	0.046614382	0.06118621	0.052352626	0.04824127
bin.0014	1.336136	1.5385387	0.9475683	0.9801926	0.7757059
bin.0015	0.14290671	0.046956994	0.16214687	0.15905051	0.17646518
bin.0016	0.023553798	0.01925961	0.02962082	0.01937028	0.017925728
bin.0017	4.340924	4.6307964	3.9243057	3.9931865	3.5359387
bin.0018	1.784081	2.7093256	1.2364608	1.2994343	1.1440252
bin.0019	5.1750226	3.8895192	6.0798626	6.040115	6.668564
bin.0020	0.15033416	0.083440416	0.13881284	0.1440884	0.1934948
bin.0021	0.31208238	0.28658503	0.22809644	0.23499678	0.2110078
bin.0022	0.05732154	0.04012922	0.047730133	0.048626088	0.043656655
bin.0023	0.29619682	0.39292866	0.5181563	0.5071002	0.5304127
bin.0024	1.2421234	1.3976715	1.010492	1.0812777	1.3193244
bin.0025	0.026829312	0.008187964	0.042356923	0.032935917	0.043881796
bin.0026	0.06832038	0.0051839924	0.08605716	0.08557299	0.13547012
bin.0027	0.047892686	0.05056919	0.040115144	0.038252227	0.04626095
bin.0028	0.15235871	0.15896852	0.113644674	0.11923167	0.1111416
bin.0029	0.046596352	0.033286877	0.043955572	0.04118048	0.04250291
bin.0030	0.03930225	0.040539186	0.03957193	0.03584312	0.025725223
bin.0031	0.1933224	0.17415707	0.15823686	0.15998901	0.14601113
bin.0032	0.067612015	0.05583793	0.050841533	0.047477912	0.0418567
bin.0033	0.27672255	0.12306633	0.34185496	0.34209117	0.41871145
bin.0034	0.12035508	0.15451978	0.082256086	0.088335104	0.056741923
bin.0035	0.10537181	0.09690323	0.085548475	0.087386295	0.07700418
bin.0036	0.03224492	0.0056516086	0.06011258	0.05670887	0.0719512
