Genome	1_cov Relative Abundance (%)
unmapped	16.346909
bin.0099	0.20579779
bin.0117	0.7604733
bin.0082	0.79602224
bin.0118	0.19281417
bin.0065	0.11825803
bin.0085	0.19577758
bin.0038	0.1206584
bin.0091	3.9867785
bin.0043	0.54161483
bin.0079	0.19909813
bin.0001	0.14531094
bin.0025	0.4136591
bin.0094	0.32304466
bin.0004	0.53782743
bin.0024	2.017043
bin.0036	0.26961297
bin.0093	0.3936284
bin.0058	0.19573003
bin.0023	0.54237425
bin.0098	0.23461182
bin.0032	0.14943369
bin.0041	0.14260533
bin.0092	0.56529045
bin.0039	0.12651157
bin.0014	0.82447505
bin.0084	0.30355272
bin.0005	0.16237167
bin.0095	0.15865196
bin.0035	0.09791742
bin.0059	0.1594907
bin.0029	0.12320814
bin.0011	0.09579498
bin.0088	0.22439133
bin.0071	0.14139491
bin.0037	0.13636956
bin.0020	0.19321552
bin.0066	1.638258
bin.0076	0.24040209
bin.0103	0.3111457
bin.0063	0.6512347
bin.0078	0.51488394
bin.0107	0.0897589
bin.0113	0.5853744
bin.0064	0.7191472
bin.0111	0.111722745
bin.0006	0.21130297
bin.0008	0.14263633
bin.0074	0.15073352
bin.0110	0.23720811
bin.0002	0.30437624
bin.0018	0.1399278
bin.0069	0.11535795
bin.0080	0.08752617
bin.0061	0.18191068
bin.0042	0.41254675
bin.0072	0.13914083
bin.0034	0.2595849
bin.0016	0.15203929
bin.0089	1.3504056
bin.0106	0.099909216
bin.0045	0.16066362
bin.0033	0.11484869
bin.0100	0.5418612
bin.0009	0.158704
bin.0010	0.22388278
bin.0048	0.13954368
bin.0114	0.18883632
bin.0090	0.23289998
bin.0054	0.124666646
bin.0096	0.62608975
bin.0075	0.09441807
bin.0108	0.13588144
bin.0019	0.22571297
bin.0047	0.11011748
bin.0086	0.18383805
bin.0003	0.9934448
bin.0031	0.14529909
bin.0049	1.3753002
bin.0081	0.27589917
bin.0030	0.47347954
bin.0021	5.172013
bin.0027	1.198695
bin.0007	0.098677546
bin.0026	0.28038725
bin.0046	0.18816698
bin.0067	0.22124724
bin.0115	0.18404226
bin.0028	0.7061848
bin.0050	1.1232144
bin.0104	4.8309937
bin.0044	0.14379601
bin.0055	0.29306644
bin.0012	0.20894438
bin.0087	0.12516342
bin.0013	0.11147466
bin.0000	0.95379514
bin.0017	1.8605376
bin.0070	0.8738269
bin.0062	0.10661199
bin.0068	0.09861554
bin.0101	0.46224663
bin.0052	2.1978889
bin.0102	3.5885081
bin.0077	0.33413634
bin.0053	0.14698535
bin.0105	0.115070775
bin.0109	0.11126046
bin.0022	6.801411
bin.0057	0.5756521
bin.0083	0.55312884
bin.0015	0.30561712
bin.0116	1.162533
bin.0097	11.437243
bin.0073	0.15244244
bin.0060	0.09368229
bin.0040	1.2955747
bin.0112	0.22036602
bin.0056	3.7898788
bin.0051	0.36327237
