Genome	1_cov Mean
bin.0099	7.8139815
bin.0117	28.874578
bin.0082	30.224342
bin.0118	7.3210034
bin.0065	4.490165
bin.0085	7.433522
bin.0038	4.5813055
bin.0091	151.37488
bin.0043	20.564693
bin.0079	7.559601
bin.0001	5.517343
bin.0025	15.706314
bin.0094	12.265754
bin.0004	20.420887
bin.0024	76.58556
bin.0036	10.236994
bin.0093	14.945763
bin.0058	7.431717
bin.0023	20.593527
bin.0098	8.908028
bin.0032	5.6738806
bin.0041	5.4146132
bin.0092	21.463636
bin.0039	4.8035455
bin.0014	31.304674
bin.0084	11.52566
bin.0005	6.165126
bin.0095	6.0238914
bin.0035	3.717848
bin.0059	6.0557375
bin.0029	4.6781173
bin.0011	3.637261
bin.0088	8.519963
bin.0071	5.3686547
bin.0037	5.177846
bin.0020	7.3362427
bin.0066	62.203377
bin.0076	9.12788
bin.0103	11.813959
bin.0063	24.726873
bin.0078	19.549742
bin.0107	3.4080756
bin.0113	22.226208
bin.0064	27.30546
bin.0111	4.242026
bin.0006	8.023008
bin.0008	5.4157896
bin.0074	5.723234
bin.0110	9.006607
bin.0002	11.556929
bin.0018	5.312949
bin.0069	4.380051
bin.0080	3.3233008
bin.0061	6.9070063
bin.0042	15.664078
bin.0072	5.2830687
bin.0034	9.856236
bin.0016	5.772814
bin.0089	51.273846
bin.0106	3.793475
bin.0045	6.100272
bin.0033	4.3607154
bin.0100	20.574047
bin.0009	6.025867
bin.0010	8.500654
bin.0048	5.2983646
bin.0114	7.1699677
bin.0090	8.843031
bin.0054	4.733495
bin.0096	23.772139
bin.0075	3.5849807
bin.0108	5.1593122
bin.0019	8.570146
bin.0047	4.1810746
bin.0086	6.980188
bin.0003	37.720325
bin.0031	5.516893
bin.0049	52.219078
bin.0081	10.475677
bin.0030	17.977648
bin.0021	196.37729
bin.0027	45.51351
bin.0007	3.7467096
bin.0026	10.646085
bin.0046	7.144553
bin.0067	8.400585
bin.0115	6.9879413
bin.0028	26.813286
bin.0050	42.64757
bin.0104	183.42906
bin.0044	5.459822
bin.0055	11.127504
bin.0012	7.9334555
bin.0087	4.7523575
bin.0013	4.232606
bin.0000	36.21486
bin.0017	70.643166
bin.0070	33.178528
bin.0062	4.047974
bin.0068	3.7443552
bin.0101	17.551144
bin.0052	83.452126
bin.0102	136.25285
bin.0077	12.686896
bin.0053	5.5809193
bin.0105	4.3691473
bin.0109	4.224473
bin.0022	258.2443
bin.0057	21.857061
bin.0083	21.00187
bin.0015	11.604044
bin.0116	44.140476
bin.0097	434.2632
bin.0073	5.7881203
bin.0060	3.5570436
bin.0040	49.19196
bin.0112	8.3671255
bin.0056	143.89874
bin.0051	13.793168
