Genome	2_cov Mean
bin.0099	4.958859
bin.0117	27.289593
bin.0082	68.9312
bin.0118	14.5549965
bin.0065	7.3452663
bin.0085	5.381387
bin.0038	6.141009
bin.0091	192.93457
bin.0043	30.726671
bin.0079	7.1079535
bin.0001	10.465939
bin.0025	33.525776
bin.0094	20.445713
bin.0004	15.948455
bin.0024	51.33196
bin.0036	26.171503
bin.0093	6.261728
bin.0058	7.502088
bin.0023	41.360203
bin.0098	6.2477646
bin.0032	6.59438
bin.0041	12.274124
bin.0092	54.024075
bin.0039	9.375205
bin.0014	72.03893
bin.0084	15.506165
bin.0005	5.400711
bin.0095	8.370565
bin.0035	6.763024
bin.0059	7.966515
bin.0029	7.6039314
bin.0011	3.9419706
bin.0088	11.812405
bin.0071	7.8331485
bin.0037	5.01339
bin.0020	10.499743
bin.0066	36.077488
bin.0076	19.95835
bin.0103	10.481419
bin.0063	65.61752
bin.0078	15.182652
bin.0107	2.4227674
bin.0113	24.786139
bin.0064	25.926052
bin.0111	6.636329
bin.0006	13.270788
bin.0008	7.725485
bin.0074	8.092863
bin.0110	18.76549
bin.0002	19.416296
bin.0018	7.8496065
bin.0069	2.8993945
bin.0080	5.6626997
bin.0061	3.932754
bin.0042	37.694866
bin.0072	7.326483
bin.0034	11.582391
bin.0016	9.706011
bin.0089	22.94595
bin.0106	4.255585
bin.0045	4.5965004
bin.0033	3.6642804
bin.0100	41.475334
bin.0009	7.229366
bin.0010	11.007219
bin.0048	7.2763395
bin.0114	11.813636
bin.0090	16.90009
bin.0054	5.6778
bin.0096	23.459608
bin.0075	6.86632
bin.0108	3.535746
bin.0019	6.020238
bin.0047	6.0795307
bin.0086	7.099677
bin.0003	39.025715
bin.0031	2.7588944
bin.0049	91.7103
bin.0081	14.5718975
bin.0030	16.559814
bin.0021	411.73483
bin.0027	95.03083
bin.0007	5.691973
bin.0026	8.182413
bin.0046	9.611359
bin.0067	16.054651
bin.0115	11.74691
bin.0028	61.33287
bin.0050	89.756134
bin.0104	127.83807
bin.0044	8.455905
bin.0055	16.338367
bin.0012	7.4913344
bin.0087	8.305605
bin.0013	5.4201465
bin.0000	34.452385
bin.0017	64.7448
bin.0070	44.964653
bin.0062	8.109732
bin.0068	4.379485
bin.0101	26.786411
bin.0052	146.0283
bin.0102	219.93343
bin.0077	18.09499
bin.0053	6.016165
bin.0105	8.719821
bin.0109	5.193455
bin.0022	263.67517
bin.0057	51.746807
bin.0083	44.929276
bin.0015	16.18137
bin.0116	67.44092
bin.0097	296.94287
bin.0073	8.025042
bin.0060	3.1050646
bin.0040	58.757256
bin.0112	15.51554
bin.0056	176.8368
bin.0051	18.63678
