Genome	X2_cov.Relative.Abundance....	X3_cov.Relative.Abundance....	X4_cov.Relative.Abundance....	X5_cov.Relative.Abundance....	X1_cov.Relative.Abundance....
bin.0000	0.72226036	0.3352026	0.8643443	0.85257393	0.95379543
bin.0001	0.21940812	0.24055883	0.14118804	0.15072744	0.14531097
bin.0002	0.40704355	0.32069406	0.32094344	0.32582256	0.3043763
bin.0003	0.8181357	0.48994777	0.8017762	0.8334953	0.9934451
bin.0004	0.3343437	0.42316484	0.5561681	0.5411013	0.5378275
bin.0005	0.1132206	0.102380656	0.17409408	0.169002	0.16237172
bin.0006	0.27820903	0.40735906	0.23973241	0.24382113	0.21130301
bin.0007	0.119326614	0.12385918	0.09254336	0.08716933	0.09867757
bin.0008	0.16195719	0.29330453	0.1816824	0.17710704	0.14263634
bin.0009	0.15155654	0.22360127	0.17165191	0.17209978	0.15870403
bin.0010	0.23075552	0.15705493	0.22696118	0.22970754	0.22388282
bin.0011	0.08263953	0.04400784	0.059768233	0.06456893	0.09579501
bin.0012	0.15704845	0.08253652	0.14343695	0.14800125	0.20894444
bin.0013	0.11362803	0.07535259	0.083117954	0.08714863	0.111474685
bin.0014	1.5102253	2.0747862	1.2362944	1.2849972	0.8244752
bin.0015	0.33922648	0.47419414	0.393405	0.38038546	0.3056172
bin.0016	0.20347697	0.19060108	0.16442578	0.17228094	0.15203933
bin.0017	1.357311	0.63696486	1.5312653	1.5410122	1.8605381
bin.0018	0.16455927	0.11531781	0.119673155	0.12127428	0.13992783
bin.0019	0.12620836	0.024078598	0.13523008	0.13636078	0.22571303
bin.0020	0.22011678	0.2437795	0.1890302	0.18677498	0.19321558
bin.0021	8.631616	11.173133	5.644244	5.928233	5.1720138
bin.0022	5.52769	4.163171	6.4879065	6.4157486	6.801413
bin.0023	0.8670759	0.92572844	0.61180174	0.655112	0.5423744
bin.0024	1.0761241	0.13944376	1.2249458	1.2528744	2.0170438
bin.0025	0.70283484	0.7979747	0.5087196	0.52885336	0.41365921
bin.0026	0.17153624	0.059823442	0.23566113	0.21904649	0.2803873
bin.0027	1.9922279	2.1768358	1.4951146	1.5501468	1.1986952
bin.0028	1.2857833	1.4194326	0.8923419	0.92802167	0.706185
bin.0029	0.15940894	0.1694266	0.13571581	0.14696944	0.12320817
bin.0030	0.34716022	0.13614416	0.3876047	0.38350508	0.47347957
bin.0031	0.05783751	0.04169803	0.11055714	0.109077774	0.14529912
bin.0032	0.13824469	0.090787575	0.14628571	0.14293605	0.14943373
bin.0033	0.076818034	0.064868085	0.07990147	0.08459568	0.114848725
bin.0034	0.24281342	0.1900001	0.26682848	0.25297618	0.25958496
bin.0035	0.14178015	0.1452633	0.10681591	0.11238804	0.09791744
bin.0036	0.5486598	0.6121742	0.38446108	0.4075636	0.26961303
bin.0037	0.10510079	0.077060126	0.12355136	0.12049539	0.13636959
bin.0038	0.1287402	0.17542732	0.1495389	0.14662397	0.120658435
bin.0039	0.19654195	0.17761457	0.13400468	0.13393268	0.12651159
bin.0040	1.2317882	1.385703	1.0144056	1.0792989	1.295575
bin.0041	0.25731495	0.29088756	0.21861404	0.21197632	0.14260536
bin.0042	0.7902358	1.1581868	0.5887613	0.6073438	0.41254684
bin.0043	0.6441544	0.5926494	0.5011364	0.543463	0.541615
bin.0044	0.17726973	0.15225197	0.13697508	0.13966013	0.14379604
bin.0045	0.09636111	0.035476305	0.12020768	0.11123752	0.16066365
