Assembly	contigs(>=0bp)	contigs(>=1000bp)	contigs(>=5000bp)	contigs(>=10000bp)	contigs(>=25000bp)	contigs(>=50000bp)	Totallength(>=0bp)	Totallength(>=1000bp)	Totallength(>=5000bp)	Totallength(>=10000bp)	Totallength(>=25000bp)	Totallength(>=50000bp)	contigs	Largestcontig	Totallength	Referencelength	GC(%)	ReferenceGC(%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	misassemblies	misassembledcontigs	Misassembledcontigslength	localmisassemblies	unalignedmis.contigs	unalignedcontigs	Unalignedlength	Genomefraction(%)	Duplicationratio	N'sper100kbp	mismatchesper100kbp	indelsper100kbp	Largestalignment	Totalalignedlength	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
ilmn_bin.0065	78	78	62	41	20	6	1475212	1475212	1415040	1264996	954133	447648	78	110194	1475212	2099383	34.03	33.54	36860	16790	16393	-	14	26	29	-	1	1	103247	1	0	4 + 1 part	25723	68.802	1.004	0.00	11.84	0.14	110194	1449448	36860	16666	16241	-	15	28	31	-
r103-il_bin.0048	1	1	1	1	1	1	1554603	1554603	1554603	1554603	1554603	1554603	1	1554603	1554603	2099383	34.08	33.54	1554603	1554603	1554603	-	1	1	1	-	1	1	1554603	0	0	0 + 1 part	10379	73.555	1.000	0.00	5.57	0.65	947559	1544224	947559	596665	596665	-	1	2	2	-
r103_bin.0015	1	1	1	1	1	1	1554733	1554733	1554733	1554733	1554733	1554733	1	1554733	1554733	2099383	34.07	33.54	1554733	1554733	1554733	-	1	1	1	-	1	1	1554733	0	0	0 + 1 part	10382	73.555	1.000	0.00	26.23	25.84	947630	1544351	947630	596721	596721	-	1	2	2	-
r104-il_bin.0055	5	5	5	4	4	4	1563369	1563369	1563369	1556090	1556090	1556090	5	797848	1563369	2099383	34.08	33.54	797848	375401	375401	-	1	2	2	-	2	2	603095	0	0	0 + 1 part	10379	73.468	1.007	0.00	4.73	0.45	797848	1552948	797848	320035	217392	-	1	2	3	-
r104_bin.0010	5	5	5	4	4	4	1563335	1563335	1563335	1556080	1556080	1556080	5	797832	1563335	2099383	34.04	33.54	797832	375408	375408	-	1	2	2	-	2	2	603107	0	0	0 + 1 part	10384	73.468	1.007	0.00	54.85	26.58	797832	1552909	797832	320033	217396	-	1	2	3	-
r9-il_bin.0105	1	1	1	1	1	1	1554604	1554604	1554604	1554604	1554604	1554604	1	1554604	1554604	2099383	34.08	33.54	1554604	1554604	1554604	-	1	1	1	-	1	1	1554604	0	0	0 + 1 part	10379	73.555	1.000	0.00	4.79	0.58	1067582	1544225	1067582	1067582	476643	-	1	1	2	-
r9_bin.0070	24	24	18	13	5	2	1922618	1922618	1899798	1862984	1736379	1624968	24	1554479	1922618	2099383	33.59	33.54	1554479	1554479	1554479	70489	1	1	1	2	3	3	1591617	1	5	11 + 8 part	261624	78.426	1.009	0.00	30.06	17.13	1067514	1661501	1067514	1067514	476585	14369	1	1	2	4
r9-il_bin.0153	46	46	45	40	28	14	1974056	1974056	1969448	1934514	1735943	1242719	46	155884	1974056	1815668	53.00	53.43	74204	74208	33788	46596	10	9	20	17	40	14	1110665	7	0	3 + 31 part	384604	85.881	1.019	1.77	515.42	148.27	122789	1589264	31160	32307	9786	15582	20	17	46	36
r9_bin.0127	46	46	45	40	28	14	1974745	1974745	1970118	1935182	1736621	1243030	46	155996	1974745	1815668	53.01	53.43	74182	74239	33814	46630	10	9	20	17	39	14	1110975	5	0	3 + 31 part	387252	85.743	1.020	0.00	505.97	352.45	122875	1587305	31149	32331	9793	15562	20	17	46	36
ilmn_bin.0011	120	120	93	66	35	13	2365149	2365149	2268871	2062674	1604389	859892	120	91813	2365149	2627602	39.33	39.10	36707	30575	17175	11788	21	25	44	58	19	16	551284	12	0	21 + 29 part	232420	80.673	1.006	0.00	90.39	8.11	80794	2129379	29472	25511	11004	7607	25	30	56	77
r103-il_bin.0120	26	26	26	26	22	16	2492648	2492648	2492648	2492648	2420300	2201298	26	405355	2492648	2627602	39.19	39.10	146270	133365	101945	100446	6	7	12	13	20	8	916675	16	0	4 + 16 part	270043	83.673	1.011	0.04	55.13	14.42	404974	2219988	100029	97906	41909	35295	8	9	18	21
r103_bin.0041	19	19	19	19	19	15	2262961	2262961	2262961	2262961	2262961	2101296	19	405419	2262961	2627602	39.31	39.10	146370	133371	106058	69340	6	7	10	13	17	8	922332	14	0	0 + 11 part	99044	81.616	1.009	0.00	71.81	25.83	404793	2160989	102278	97941	50842	35291	7	9	15	21
r104-il_bin.0014	18	18	18	18	16	14	2556785	2556785	2556785	2556785	2521995	2425320	18	411694	2556785	2627602	38.95	39.10	254524	254524	100883	98726	5	5	8	9	38	10	2029628	14	0	0 + 12 part	249300	85.913	1.022	0.51	73.00	9.92	404177	2307187	86198	86198	40245	38651	9	9	20	21
r104_bin.0094	18	18	18	18	16	14	2556550	2556550	2556550	2556550	2521756	2425089	18	411622	2556550	2627602	38.95	39.10	254635	254635	100869	98723	5	5	8	9	38	10	2029403	14	0	0 + 12 part	248520	85.948	1.022	0.00	82.01	19.97	404166	2307732	86221	86221	40242	38647	9	9	20	21
r9-il_bin.0166	19	19	19	19	17	16	2527666	2527666	2527666	2527666	2489841	2440088	19	400241	2527666	2627602	39.18	39.10	168997	168997	124543	113673	6	6	10	11	21	9	1392148	11	0	0 + 11 part	234681	85.865	1.016	1.27	48.27	10.02	400241	2292838	102299	102299	48905	39948	8	8	16	18
r9_bin.0167	29	29	28	28	22	17	2825868	2825868	2821556	2821556	2705836	2543372	29	400257	2825868	2627602	39.02	39.10	163483	169107	103105	113676	7	6	13	11	22	10	1414943	11	2	2 + 16 part	366881	91.479	1.023	0.00	60.66	19.64	400257	2458830	97190	102361	32035	39974	9	8	22	18
ilmn_bin.0045	899	899	133	31	4	0	2797661	2797661	1175536	472829	107553	0	899	28702	2797661	2725988	33.90	34.94	3897	4060	2129	2217	185	175	433	409	12	11	48425	3	0	473 + 20 part	1573181	43.905	1.023	0.00	415.26	19.97	14845	1220760	-	-	-	-	-	-	-	-
r103-il_bin.0116	30	30	30	27	19	10	2547235	2547235	2547235	2523424	2386677	2053738	30	321078	2547235	2725988	35.28	34.94	223280	199785	117313	99650	5	6	9	10	52	12	2108772	44	1	7 + 19 part	455076	76.265	1.006	0.43	742.87	72.58	182951	2092040	37534	35050	13406	6415	18	20	42	57
r103_bin.0080	28	28	28	25	20	12	2539206	2539206	2539206	2515391	2423742	2156780	28	321310	2539206	2725988	34.99	34.94	223407	199951	117491	99863	5	6	9	10	51	11	2103353	43	0	7 + 18 part	453967	75.978	1.007	0.00	767.64	156.15	183024	2085150	38955	36670	13409	6361	17	20	42	58
r104-il_bin.0006	53	53	53	39	25	14	2090111	2090111	2090111	1982512	1780234	1412590	53	171568	2090111	2725988	35.18	34.94	96017	52500	34936	7948	9	14	19	46	46	25	1250548	25	1	1 + 20 part	216000	68.390	1.005	0.00	652.31	47.42	171568	1872279	28204	18039	12884	-	19	33	47	-
r104_bin.0030	51	51	51	39	25	14	2077059	2077059	2077059	1982265	1780136	1412596	51	171532	2077059	2725988	35.21	34.94	95978	52477	35009	7968	9	14	18	46	42	23	1214716	21	1	1 + 21 part	228332	67.554	1.004	0.00	728.59	96.44	171532	1847080	28202	18226	13204	-	19	33	45	-
r9-il_bin.0150	22	22	22	21	15	12	2195722	2195722	2195722	2190341	2085608	1956800	22	405191	2195722	2725988	34.82	34.94	229090	136171	101426	46965	4	6	8	14	40	13	2003765	25	0	3 + 15 part	211410	71.197	1.022	0.00	640.45	50.65	198584	1983351	45882	35285	22024	-	11	17	27	-
