id_bin	bin	CDS_total	CDS_hypothetical	X16S	X23S	X5S	unique_tRNA	checkm_marker_lineage	Completeness	Contamination	Strain_heterogeneity	Genome_size_bp	ambiguous_bases	scaffolds	contigs	N50_scaffolds_	N50_contigs_	Mean_scaffold_length_bp	Mean_contig_length_bp	Longest_scaffold_bp	Longest_contig_bp	GC	GC_std_scaffolds__1kbp	Coding_density	predicted_genes	gtdb_classification	fastani_ani	fastani_af	closest_placement_reference	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	msa_percent	red_value	gtdb_warning	silva_taxonomy	mags_workflow_name	mags_workflow_date	MAG_status	cov_long	cov_ilm	Rabund_long	Rabund_ilm	cmseq_covered_bases	cmseq_polymorphic_bases	percent_snp_rate	cMAG_status	kaiju_domain	kaiju_phylum	AMR_count	VIR_count	secondary_cluster
pbccs_bin.0000	bin.0000	1507	638	2	0	0	13	c__Clostridia (UID1118)	74.59	0	0	1356049	0	20	20	103067	103067	67802	67802	183041	183041	40.4	2.14	83.92	1493	d__Bacteria;p__Firmicutes_A;c__Mahellia_A;o__Caldicoprobacterales;f__DTU083;g__UBA3906;s__UBA3906 sp002391555	99.11	0.74	GCA_002391555.1	99.11	0.74	d__Bacteria;p__Firmicutes_A;c__Mahellia_A;o__Caldicoprobacterales;f__DTU083;g__;s__	taxonomic classification defined by topology and ANI	63.35	N/A	N/A	CZCA01008031.3025.4535 Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;anaerobic digester metagenome	pbccs	2021-09-02	MQ	3.7459538	7.166167	0.06690079	0.05835351	26628	863	3.24094937659606	N	Bacteria	 Firmicutes	0	0	105_1
pbccs_bin.0001	bin.0001	2318	1160	2	2	2	20	k__Bacteria (UID1452)	94.44	2.78	0	2654683	0	3	3	2546838	2546838	884894	884894	2546838	2546838	39.1	0.71	90.74	2286	d__Bacteria;p__Armatimonadota;c__UBA5829;o__DTJY01;f__DTJY01;g__;s__	N/A	N/A	GCA_011337985.1	79.08	0.01	d__Bacteria;p__Armatimonadota;c__UBA5829;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	90.11	0.7044730465807065	N/A	KJ955662.1.1225 Bacteria;Armatimonadota;uncultured;uncultured Armatimonadetes bacterium	pbccs	2021-09-02	HQ	6.44012	7.0264606	0.115017205	0.057215896	65258	142	0.217597842410126	N	Bacteria	 Firmicutes	0	0	56_1
pbccs_bin.0002	bin.0002	2214	1084	2	2	2	18	k__Bacteria (UID2328)	98.67	4	100	2348834	0	18	18	598257	598257	130490	130490	612551	612551	35.7	1.61	90.09	2167	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__DTU067;s__DTU067 sp012841865	98.93	0.87	GCA_012841865.1	98.93	0.87	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__DTU067;s__	taxonomic classification defined by topology and ANI	91.78	N/A	N/A	FN667374.1.1462 Bacteria;Firmicutes;Bacilli;Izemoplasmatales;uncultured compost bacterium	pbccs	2021-09-02	HQ	9.254811	53.74027	0.16528612	0.43760258	1567326	8730	0.556999628666914	N	Bacteria	 Firmicutes	2	0	22_1
pbccs_bin.0003	bin.0003	3920	2568	2	1	1	19	k__Bacteria (UID2565)	81.93	2.94	0	4382189	0	44	44	156328	156328	99595	99595	333848	333848	64.7	0.94	84.98	4012	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__UBA1845;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__UBA1845;g__;s__	taxonomic novelty determined using RED	70.46	0.7972607152033802	N/A	JQ771475.1.1510 Bacteria;Planctomycetota;Phycisphaerae;CCM11a;bacterium enrichment culture clone E27	pbccs	2021-09-02	MQ	4.070791	6.970824	0.07270221	0.056762848	83274	1020	1.22487210894157	N	Bacteria	 Planctomycetes	0	0	161_1
pbccs_bin.0004	bin.0004	1520	537	2	2	0	20	k__Bacteria (UID209)	86.21	0	0	1598155	0	4	4	897285	897285	399538	399538	897285	897285	31.2	1.18	88.91	1461	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Defluviitoga;s__Defluviitoga tunisiensis	98.94	0.94	GCF_000953715.1	98.94	0.94	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__;s__	taxonomic classification defined by topology and ANI	84.1	N/A	N/A	LN824141.1873567.1875066 Bacteria;Thermotogota;Thermotogae;Petrotogales;Petrotogaceae;Defluviitoga;Defluviitoga tunisiensis	pbccs	2021-09-02	MQ	35.904594	90.86101	0.6412374	0.7398737	1461983	14228	0.973198730764995	N	Bacteria	 Thermotogae	0	0	34_1
pbccs_bin.0005	bin.0005	5372	3272	1	1	0	20	k__Bacteria (UID1452)	80.68	3.7	0	6131121	0	70	70	122946	122946	87587	87587	474765	474765	64.1	1.32	81.52	5488	d__Bacteria;p__Armatimonadota;c__CAIYQO01;o__CAIYQO01;f__CAIYQO01;g__;s__	N/A	N/A	GCA_903928345.1	77.66	0.2	d__Bacteria;p__Armatimonadota;c__CAIYQO01;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	71.97	0.8141558605525927	N/A	HE974813.1.1481 Bacteria;WS4;uncultured bacterium	pbccs	2021-09-02	MQ	4.234685	4.781468	0.07562927	0.038935103	76845	2596	3.37822890233587	N	Bacteria	 Proteobacteria	1	0	160_1
pbccs_bin.0006	bin.0006	1672	739	2	2	2	21	o__Clostridiales (UID1120)	81.91	5.44	66.67	1932976	0	15	15	248506	248506	128865	128865	396626	396626	50.2	0.79	88.5	1638	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__DTU023;g__UBA4923;s__UBA4923 sp012799695	99.15	0.91	GCA_012799695.1	99.15	0.91	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__DTU023;g__UBA4923;s__	taxonomic classification defined by topology and ANI	85.47	N/A	N/A	KC846031.1.1493 Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Fastidiosipila;uncultured bacterium	pbccs	2021-09-02	MQ	587.2902	676.01575	10.488698	5.5047407	1929820	8114	0.420453721072432	N	Bacteria	 Firmicutes	0	0	80_1
pbccs_bin.0007	bin.0007	4317	2421	2	3	3	16	k__Bacteria (UID3187)	72.98	0.93	50	4549153	0	69	69	81773	81773	65929	65929	226376	226376	66.5	1.04	89.15	4399	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	taxonomic classification fully defined by topology	66.21	0.8461578900982585	N/A	KF550883.1.1426 Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;uncultured bacterium	pbccs	2021-09-02	MQ	4.3013906	9.591742	0.076820605	0.07810477	158311	3382	2.13630133092457	N	Bacteria	 Acidobacteria	0	0	158_1
pbccs_bin.0008	bin.0008	1737	857	1	1	1	16	c__Deltaproteobacteria (UID3216)	46.51	0	0	1523748	0	18	18	129548	129548	84652	84652	220682	220682	50.3	1.61	83.65	1763	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	taxonomic classification fully defined by topology	46.44	0.7474744398489952	N/A	HE648213.1.1522 Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;SEEP-SRB1;uncultured Desulfobacteraceae bacterium	pbccs	2021-09-02	LQ	3.2517073	7.6461616	0.058073808	0.062262073	20402	73	0.357808058033526	N	Bacteria	 Proteobacteria	0	0	NA
pbccs_bin.0009	bin.0009	1797	859	2	2	2	20	p__Bacteroidetes (UID2605)	92.12	3.33	42.86	1998821	0	7	7	486573	486573	285545	285545	617016	617016	44.6	1.3	92.99	1757	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Bact-11;s__Bact-11 sp002376715	95.43	0.92	GCA_002376715.1	95.43	0.92	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Bact-11;s__	taxonomic classification defined by topology and ANI	90.93	N/A	N/A	AB175383.1.1446 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;uncultured bacterium	pbccs	2021-09-02	HQ	240.51898	477.60614	4.295544	3.8891077	1990966	19689	0.988916937808079	N	Bacteria	 Bacteroidetes	0	0	129_1
