Name %GC 
contig_25895 40.28 
contig_4881 36.82 
contig_4124 31.25 
contig_28462 34.29 
contig_24885 64.85 
contig_22711 59.02 
contig_26749 36.41 
contig_11247 49.86 
contig_482 38.64 
contig_19998 65.07 
contig_23782 54.12 
contig_27993 45.79 
contig_26483 58.92 
contig_29912 51.23 
contig_15621 47.50 
contig_7878 50.42 
contig_21076 70.01 
contig_10690 38.61 
contig_18900 45.63 
contig_19954 54.34 
contig_20150 53.25 
contig_26136 44.90 
contig_10423 37.16 
contig_1171 41.14 
contig_2460 56.60 
contig_24263 36.00 
contig_2628 40.42 
contig_27038 29.97 
contig_25066 54.53 
contig_27517 54.05 
contig_7470 48.04 
contig_6410 45.35 
contig_9179 53.04 
contig_634 47.99 
contig_12161 47.80 
contig_29514 50.80 
contig_10508 50.78 
contig_30825 42.89 
contig_25415 65.68 
contig_12174 36.52 
contig_7367 57.15 
contig_29560 55.88 
contig_23938 43.40 
contig_26274 63.58 
contig_25902 63.34 
contig_19193 52.27 
contig_20954 45.20 
contig_30324 42.19 
contig_8122 55.39 
contig_7658 33.64 
contig_6019 50.82 
contig_25720 43.40 
contig_27774 36.46 
contig_2737 47.34 
contig_14173 42.92 
contig_21111 52.66 
contig_10370 41.85 
contig_7992 55.00 
contig_2394 61.80 
contig_1737 43.82 
contig_30041 43.80 
contig_12620 37.20 
contig_10986 48.03 
contig_29608 43.26 
contig_9860 48.89 
contig_9161 67.86 
contig_28554 34.46 
contig_29455 35.19 
contig_2803 61.37 
contig_28414 56.29 
contig_30829 58.69 
contig_24771 52.26 
contig_467 49.79 
contig_26771 52.94 
contig_22542 46.50 
contig_17620 42.48 
contig_9076 62.07 
contig_15721 42.63 
contig_14877 51.34 
contig_2742 52.08 
contig_29386 41.80 
contig_22313 60.25 
contig_13941 38.76 
contig_10400 57.76 
contig_29314 56.63 
contig_835 35.53 
contig_6268 51.08 
contig_1328 50.09 
contig_4107 57.59 
contig_28442 52.49 
contig_26694 42.61 
contig_17444 43.58 
contig_30209 49.87 
contig_5188 39.66 
contig_29538 39.96 
contig_4828 41.87 
contig_23261 32.42 
contig_21209 63.49 
contig_1230 44.86 
contig_11514 32.68 
contig_12997 36.78 
contig_2884 47.07 
contig_7257 55.01 
contig_5171 43.45 
contig_7604 41.02 
contig_16208 67.11 
contig_16281 30.39 
contig_29385 32.55 
contig_30147 47.18 
contig_24555 61.70 
contig_10924 52.53 
contig_758 52.44 
contig_28497 42.79 
contig_30462 50.64 
contig_19753 41.35 
contig_755 33.72 
contig_23817 32.66 
contig_20704 53.56 
contig_13525 54.86 
contig_666 45.34 
contig_554 53.59 
contig_18303 34.54 
contig_5177 42.57 
contig_29044 47.21 
contig_8540 43.74 
contig_21433 54.42 
contig_19075 32.40 
contig_2404 31.38 
contig_18531 38.54 
contig_4833 55.66 
contig_5683 57.73 
contig_22757 45.71 
contig_25368 42.92 
contig_25978 58.74 
contig_20253 34.09 
contig_21794 49.51 
contig_15935 51.36 
contig_26089 49.52 
contig_24549 60.03 
contig_7603 42.48 
contig_29411 39.03 
contig_6605 47.72 
contig_9438 49.84 
contig_8280 29.53 
contig_9834 67.25 
contig_6029 51.35 
contig_20618 61.56 
contig_25905 59.73 
contig_18904 48.47 
contig_26601 43.29 
contig_7619 45.11 
contig_12344 55.38 
contig_8941 32.85 
contig_18992 40.62 
contig_18049 64.31 
contig_6778 43.48 
contig_3576 45.33 
contig_12435 59.40 
contig_28248 44.63 
contig_7322 58.88 
contig_29377 59.10 
contig_24858 29.79 
contig_14644 48.09 
contig_6376 60.38 
contig_5805 37.62 
contig_4525 42.35 
contig_18665 33.36 
contig_28076 57.27 
contig_21380 35.14 
contig_18819 28.37 
contig_10732 54.51 
contig_16294 49.67 
contig_8246 49.78 
contig_26202 56.64 
contig_19297 41.23 
contig_29926 51.24 
contig_18814 64.89 
contig_22176 50.24 
contig_27476 32.80 
contig_21898 33.70 
contig_7745 37.01 
contig_23620 30.40 
contig_3432 55.45 
contig_24071 51.24 
contig_2055 34.32 
contig_24903 45.10 
contig_20297 49.18 
contig_16697 44.37 
contig_27442 65.55 
contig_2536 48.75 
contig_17015 50.25 
contig_8301 43.82 
contig_30081 51.69 
contig_25977 36.68 
contig_24292 56.83 
contig_30713 58.94 
contig_25871 36.76 
contig_13536 51.92 
contig_4342 52.46 
contig_1108 37.38 
contig_10503 48.87 
contig_5294 45.74 
contig_6994 29.56 
contig_12540 42.40 
contig_29961 32.74 
contig_17207 50.19 
contig_11164 45.95 
contig_13500 57.84 
contig_24873 57.97 
contig_23459 38.62 
contig_25919 30.68 
contig_9027 38.40 
contig_26160 65.59 
contig_20684 52.91 
contig_26270 35.87 
contig_10432 51.58 
contig_20916 50.30 
contig_10186 50.09 
contig_22130 54.36 
contig_26168 36.62 
contig_20986 52.99 
contig_19006 31.81 
contig_21174 62.07 
contig_24272 37.11 
contig_19382 36.58 
contig_16541 38.03 
contig_5262 46.36 
contig_2678 49.03 
contig_26673 42.64 
contig_14209 49.36 
contig_27543 41.36 
contig_464 56.23 
contig_1402 46.21 
contig_9225 53.19 
contig_18783 56.37 
contig_15237 58.94 
contig_16285 45.67 
contig_18402 45.49 
contig_16508 56.55 
contig_25417 67.61 
contig_28184 57.27 
contig_6766 56.48 
contig_27482 45.77 
contig_2354 51.26 
contig_30816 44.97 
contig_20461 56.25 
contig_23039 48.32 
contig_2468 53.86 
contig_2808 62.83 
contig_20536 40.25 
contig_21977 59.34 
contig_6368 64.68 
contig_19342 51.59 
contig_21844 57.72 
contig_8944 44.57 
contig_30156 42.81 
contig_20164 32.14 
contig_214 47.97 
contig_6294 39.22 
contig_30728 36.92 
contig_24862 47.59 
contig_2992 34.02 
contig_24810 48.98 
contig_22126 58.76 
contig_18391 58.07 
contig_20123 52.27 
contig_29340 47.53 
contig_29917 61.01 
contig_30923 53.96 
contig_843 52.21 
contig_13503 55.51 
contig_16481 64.30 
contig_261 39.77 
contig_2836 54.73 
contig_11087 53.96 
contig_17031 44.82 
contig_28844 64.61 
contig_26498 49.48 
contig_11329 50.58 
contig_27539 40.29 
contig_5593 56.16 
contig_29958 61.29 
contig_20287 63.87 
contig_14840 47.13 
contig_20046 42.38 
contig_7437 28.55 
contig_15977 50.22 
contig_18093 64.51 
contig_13238 50.82 
contig_25243 58.88 
contig_27443 60.14 
contig_24460 33.29 
contig_14905 35.46 
contig_15371 57.62 
contig_596 50.25 
contig_26919 52.98 
contig_21234 36.92 
contig_19266 37.15 
contig_16922 46.43 
contig_24619 64.03 
contig_5353 40.68 
contig_9992 53.97 
contig_14958 56.03 
contig_30717 42.04 
contig_20771 47.01 
contig_30840 40.86 
contig_27992 48.09 
contig_15303 36.27 
contig_26101 48.16 
contig_19102 41.05 
contig_10605 32.73 
contig_22429 55.01 
contig_15499 47.74 
contig_19886 63.89 
contig_21276 34.54 
contig_2574 30.59 
contig_28685 51.31 
contig_27764 55.54 
contig_19606 45.16 
contig_21075 41.00 
contig_16433 58.71 
contig_21013 61.35 
contig_6937 49.57 
contig_25789 37.53 
contig_21449 64.33 
contig_12703 62.44 
contig_1049 35.41 
contig_3188 51.91 
contig_9086 41.39 
contig_23358 65.73 
contig_20056 33.74 
contig_9116 32.66 
contig_13051 36.47 
contig_29323 43.45 
contig_21849 53.05 
contig_449 57.15 
contig_9765 50.24 
contig_27206 60.78 
contig_24186 34.24 
contig_17117 39.78 
contig_22839 45.99 
contig_19495 59.51 
contig_13645 57.81 
contig_12206 42.36 
contig_24626 43.34 
contig_26369 55.46 
contig_26161 44.29 
contig_23614 68.49 
contig_15219 44.55 
contig_13965 29.82 
contig_30323 36.18 
