contig	contig_len_bp	cov_long	cov_long_var	cov_ilm	cov_ilm_var	status_circular	status_repeat	graph_path	cmseq_total_covered_bases	total_polymorphic_bases	total_polymorphic_rate	dominant_allele_distr_mean	dominant_allele_distr_sd	domain	phylum	class	order	family	genus	species	AMR_count	VIR_count	mags_workflow_name	mags_workflow_date	mags_workflow_mode	bin
contig_1	1984	0.620502	0.522569	4.56543	22.0616	N	N	1,5,*	1016	80	0.078740157480315	0.659858311004348	0.0973771757566816	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Desulfotomaculum	 Desulfotomaculum acetoxidans	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10	12338	3.89432	2.22188	6.85404	27.5491	N	N	*,10,*	5517	346	0.0627152437919159	0.647950655609935	0.0908137828461535	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Desulfotomaculum	 Desulfotomaculum acetoxidans	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10000	2706	3.18545	0.957388	3.56416	41.8625	N	N	*,10000,*	469	16	0.0341151385927505	0.635034700900412	0.0837826140789228	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Heliobacteriaceae	 Heliobacterium	 Heliobacterium modesticaldum	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0059
contig_10001	41229	3.94238	5.39431	4.46888	10.2577	N	N	*,10001,*	4697	70	0.014903129657228	0.631402491066357	0.0764777524701617	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Unclassified	 Flavobacteriaceae bacterium UJ101	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0021
contig_10002	5513	3.50326	1.59496	6.03692	12.2714	N	N	*,10002,*	2249	76	0.0337927967985771	0.662090760117076	0.087345256454913	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Dehalobacter	 Unclassified	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10003	12654	3.74368	5.07051	4.73632	39.6534	N	N	*,10003,*	1196	6	0.00501672240802676	0.631156102930296	0.0654277914589228	Archaea	 Euryarchaeota	 Methanomicrobia	 Methanosarcinales	 Methanosarcinaceae	 Methanosarcina	 Methanosarcina barkeri	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10004	98879	6.96008	7.31206	7.53227	12.0514	N	N	*,10004,*	31639	72	0.00227567242959638	0.642460446688388	0.0792918651066924	Bacteria	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 Unclassified	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0056
contig_10006	2634	0.251208	0.188181	1.91667	3.67213	N	Y	*,10006,*	363	44	0.121212121212121	0.620701015582523	0.0819060391324479	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10007	1842	0.981678	0.0179965	2.58747	23.9997	N	N	*,10007,*	206	0	0	NA	NA	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10008	80497	41.1005	56.5434	43.1395	163.776	Y	N	10008	79208	410	0.00517624482375518	0.676291856906747	0.0834518116799358	Bacteria	 Deferribacteres	 Deferribacteres	 Deferribacterales	 Deferribacteraceae	 Denitrovibrio	 Denitrovibrio acetiphilus	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10009	5035	5.0002	6.86795	6.16438	37.2944	N	Y	*,10009,*	1833	35	0.0190943807965085	0.722596716359291	0.0479815636092608	Bacteria	 Deinococcus-Thermus	 Deinococci	 Deinococcales	 Deinococcaceae	 Deinococcus	 Deinococcus peraridilitoris	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_1001	43256	11.2478	24.3477	19.1934	135.77	N	N	*,1001,8778,*	39133	1105	0.028237037794189	0.676358369202239	0.0898552331875532	Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacterales Family III. Incertae Sedis	 Caldicellulosiruptor	 Caldicellulosiruptor owensensis	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10012	2811	5.68283	7.2008	10.4247	100.911	N	Y	*,10012,*	1476	2	0.0013550135501355	0.634615384615385	0.134615384615385	Bacteria	 Deinococcus-Thermus	 Deinococci	 Deinococcales	 Deinococcaceae	 Deinococcus	 Deinococcus peraridilitoris	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10013	6060	2.23655	1.05211	2.45821	3.29317	N	N	*,10013,*	0	0	NA	NA	NA	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium	 [Clostridium] cellulosi	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10014	4038	5.6304	1.24056	9.51826	18.0329	N	N	*,10014,*	2417	37	0.0153082333471245	0.629102195758206	0.0818130481874031	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10015	3206	2.10635	0.443986	1.71302	2.89736	N	N	*,10015,*	0	0	NA	NA	NA	Archaea	 Euryarchaeota	 Methanomicrobia	 Methanomicrobiales	 Methanospirillaceae	 Methanospirillum	 Methanospirillum hungatei	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10016	32400	7.80992	13.7481	12.0343	43.0781	N	Y	*,10016,*	23577	335	0.0142087627772829	0.677197273104495	0.0893554057007312	Bacteria	 Actinobacteria	 Actinobacteria	 Micrococcales	 Micrococcaceae	 Arthrobacter	 Arthrobacter sp. ERGS1:01	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10019	18766	3.49726	3.16478	5.4906	41.1886	N	N	*,10019,*	2339	16	0.00684053014108593	0.655870399142458	0.0818241603554933	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium	 [Clostridium] stercorarium	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_1002	39973	6.01913	9.82187	6.8296	17.6376	N	N	*,1002,*	11845	110	0.00928661882650908	0.636475342838979	0.0774396689377738	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Syntrophobacterales	 Syntrophaceae	 Syntrophus	 Syntrophus aciditrophicus	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0056
contig_10020	11533	4.12343	2.89207	5.55996	8.76863	N	N	*,10020,*	1348	2	0.00148367952522255	0.666666666666667	0.0833333333333333	Bacteria	 Bacteroidetes	 Chitinophagia	 Chitinophagales	 Chitinophagaceae	 Niastella	 Niastella koreensis	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0103
contig_10021	16677	3.42276	5.37107	3.00484	13.4165	N	N	*,10021,*	1311	0	0	NA	NA	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Flammeovirgaceae	 Flammeovirga	 Flammeovirga sp. MY04	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10022	11694	4.66147	3.18038	4.0693	8.23249	N	N	*,10022,*	559	6	0.0107334525939177	0.557575757575758	0.0450486931736924	Bacteria	 Ignavibacteriae	 Ignavibacteria	 Ignavibacteriales	 Melioribacteraceae	 Melioribacter	 Melioribacter roseus	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10023	13609	2.49224	0.42229	3.23776	6.49209	N	N	*,10023,*	695	31	0.0446043165467626	0.632942326490714	0.0682977623094148	Bacteria	 Firmicutes	 Clostridia	 Halanaerobiales	 Halobacteroidaceae	 Acetohalobium	 Acetohalobium arabaticum	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0078
contig_10024	36691	7.45297	5.30746	6.51808	10.3711	N	N	*,10024,*	18497	1121	0.0606044223387576	0.640447608111617	0.0856062956411796	Bacteria	 Firmicutes	 Limnochordia	 Limnochordales	 Limnochordaceae	 Limnochorda	 Limnochorda pilosa	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0078
contig_10025	15990	5.25	4.80801	5.65436	9.96561	N	N	*,10025,*	3798	117	0.0308056872037915	0.654501636288966	0.0831759743199526	Bacteria	 Firmicutes	 Clostridia	 Halanaerobiales	 Halobacteroidaceae	 Acetohalobium	 Acetohalobium arabaticum	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0078
contig_10026	4428	5.62833	5.87344	13.2267	104.417	N	N	*,10026,*	2798	19	0.00679056468906362	0.690974173247678	0.0748041151287785	Viruses	 Unclassified	 Unclassified	 Caudovirales	 Siphoviridae	 Unclassified	 Cellulophaga phage phi10:1	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0110
contig_10027	33807	2.53944	1.47412	1.88148	4.16211	N	N	*,10027,*	8	0	0	NA	NA	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfobacterales	 Desulfobulbaceae	 Desulfobulbus	 Desulfobulbus propionicus	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0031
contig_10028	4298	3.22396	0.375917	9.51013	20.3117	N	N	*,10028,*	2232	64	0.028673835125448	0.668822172825777	0.0799848207662963	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Fermentimonas	 Fermentimonas caenicola	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10029	12185	11.7331	15.7562	18.7468	63.9052	N	Y	*,10029,*	12040	363	0.0301495016611296	0.660938271845455	0.0824002255711203	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Fermentimonas	 Fermentimonas caenicola	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0039
contig_1003	9800	1.90591	1.90165	2.64301	9.9017	N	N	*,1003,*	620	4	0.00645161290322581	0.7	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Rhodopseudomonas	 Rhodopseudomonas palustris	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10030	3198	2.25755	0.602174	3.66798	9.84132	N	N	*,10030,*	212	0	0	NA	NA	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium	 Clostridium formicaceticum	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10031	34945	7.12444	14.1252	3.06625	5.91028	N	N	*,10031,*	774	0	0	NA	NA	Bacteria	 Tenericutes	 Mollicutes	 Acholeplasmatales	 Acholeplasmataceae	 Acholeplasma	 Acholeplasma palmae	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10033	17515	5.37622	5.05112	7.97374	15.9989	N	N	*,10033,*	5577	2	0.000358615743231128	0.732142857142857	0.0178571428571428	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Oscillospiraceae	 Oscillibacter	 Oscillibacter valericigenes	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10034	4698	2.56838	0.262524	1.51693	1.65338	N	N	*,10034,*	0	0	NA	NA	NA	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Proteiniphilum	 Proteiniphilum saccharofermentans	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10035	10530	4.40019	4.04646	5.1473	50.7296	N	N	*,10035,*	1316	0	0	NA	NA	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Petrimonas	 Petrimonas mucosa	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10036	16332	2.85539	0.758172	4.09789	4.6069	N	N	*,10036,*	1395	76	0.0544802867383513	0.685251049145888	0.0921255135844372	Bacteria	 Firmicutes	 Limnochordia	 Limnochordales	 Limnochordaceae	 Limnochorda	 Limnochorda pilosa	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10037	16213	5.26882	9.58614	6.00585	13.5508	N	N	*,10037,*	6323	261	0.0412778744266962	0.654365636674405	0.0909178059297442	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Odoribacteraceae	 Odoribacter	 Odoribacter splanchnicus	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10038	8719	2.52258	0.694961	1.17458	1.82953	N	N	*,10038,*	0	0	NA	NA	NA	Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Tepidanaerobacter	 Tepidanaerobacter acetatoxydans	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0059
contig_10039	3289	3.15068	1.19687	0.958586	1.42979	N	N	*,10039,*	0	0	NA	NA	NA	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus paracasei	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10040	4784	4.72313	5.3698	7.50928	22.7726	N	N	*,10040,*	2032	17	0.00836614173228347	0.71821104976632	0.0664432465392832	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Geosporobacter	 Geosporobacter ferrireducens	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10041	12661	3.21269	1.69271	3.78123	5.0685	N	N	*,10041,*	354	5	0.0141242937853107	0.663846153846154	0.10075454972328	Bacteria	 Deferribacteres	 Deferribacteres	 Deferribacterales	 Deferribacteraceae	 Denitrovibrio	 Denitrovibrio acetiphilus	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10042	9136	3.81994	1.88093	3.10539	5.86435	N	N	*,10042,*	178	5	0.0280898876404494	0.622424242424242	0.104259160037815	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. CCOS 191	0	0	r10-il	2021-08-28	Nanopore-Illumina	NA
contig_10043	11561	3.55499	2.90567	3.13329	4.62027	N	N	*,10043,*	146	0	0	NA	NA	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Gemmataceae	 Gemmata	 Gemmata sp. SH-PL17	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0112
contig_10044	3775	2.74014	0.209493	2.61931	2.21876	N	N	*,10044,*	0	0	NA	NA	NA	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Syntrophomonadaceae	 Syntrophomonas	 Syntrophomonas wolfei	0	0	r10-il	2021-08-28	Nanopore-Illumina	bin.0059
