contigName	contigLen	totalAvgDepth	1_cov.bam	1_cov.bam-var	2_cov.bam	2_cov.bam-var
contig_2493	3064	6.01373	6.01373	1.42993	7.21242	5.70523
contig_10730	20404	14.4516	14.4516	20.9246	8.39118	15.1959
contig_24299	23954	4.45639	4.45644	1.36848	9.61263	26.5184
contig_5210	2323	5.30051	5.30051	1.88986	2.6567	2.00271
contig_25937	1746	0.991855	0.991855	0.00808413	0.187343	0.15234
contig_16935	3172	2.53905	2.53905	0.271065	5.46294	12.5249
contig_21151	4342	3.14074	3.14074	1.198	6.33421	12.2568
contig_24442	6969	4.38906	4.38906	1.53842	7.84455	21.1699
contig_19992	116001	5.77238	5.77238	5.08519	10.1216	17.8439
contig_18254	5215	2.71905	2.71905	0.311862	1.66673	1.73012
contig_12101	49315	5.25899	5.25899	4.03465	3.51748	5.31839
contig_20257	11691	1.97764	1.97764	0.813036	1.12902	2.2902
contig_21063	3872	2.65879	2.65879	0.443079	1.82671	2.18257
contig_6326	3881	0.537121	0.537121	0.355385	1.17207	1.94839
contig_20518	3857	1.95225	1.95225	0.0465585	3.18479	5.60353
contig_13143	34497	6.10845	6.10845	7.31774	8.29787	17.516
contig_2117	14299	3.56591	3.56591	1.44648	4.23359	9.17615
contig_16515	3225	2.88846	2.88846	0.106943	1.76585	2.47989
contig_5424	4960	14.62	14.62	8.8561	58.0154	115.132
contig_9194	2113	25.5262	25.5262	5.31568	12.349	27.8046
contig_1539	8066	14.6613	14.6613	37.4622	42.1675	290.314
contig_6511	1706	2.91902	2.91902	0.955493	6.30206	4.95952
contig_13510	2197	6.03078	6.03078	1.6535	30.3478	89.2308
contig_6626	44511	3.85674	3.85674	2.05611	6.0564	14.1798
contig_25170	46355	3.66488	3.66488	1.50686	5.26616	10.4153
contig_4562	11460	6.81583	6.81583	3.3666	5.92202	12.6404
contig_12107	5973	2.46522	2.46522	0.592045	1.69758	2.66171
contig_23443	68763	26.0863	26.0863	49.1646	66.408	286.07
contig_17098	15474	2.80429	2.80429	0.712108	0.840381	1.13915
contig_19300	2403	2.59831	2.59831	0.338138	1.1518	1.52315
contig_17003	4235	3.79927	3.79927	1.3402	5.6164	11.5978
contig_16989	21207	3.30574	3.30574	2.29752	4.75172	8.41779
contig_22979	14688	3.78319	3.78319	3.95672	1.24123	2.12516
contig_10190	7665	4.77871	4.77871	7.3511	4.28463	12.9795
contig_15486	3702	3.47804	3.47804	0.626377	7.13119	9.38053
contig_2362	1751	4.34728	4.34728	1.79431	6.98064	7.86272
contig_18795	8962	3.41024	3.41024	1.04957	4.98094	8.66053
