contigName	contigLen	totalAvgDepth	6_cov.bam	6_cov.bam-var
contig_25895	5365	2.62761	2.62761	3.23375
contig_4881	3764	58.1367	58.1367	131.848
contig_4124	2902	1.66206	1.66206	4.56913
contig_28462	15941	0.0923944	0.0923944	0.146441
contig_24885	29166	0.00117177	0.00117177	0.00116955
contig_22711	10669	0.00684476	0.00684476	0.0136438
contig_26749	2832	0.829232	0.829232	1.86934
contig_11247	1410	0.207143	0.207143	0.164365
contig_482	20274	5.11762	5.11762	30.192
contig_19998	5554	0.111029	0.111029	0.130185
contig_23782	3485	2.07676	2.07676	6.37631
contig_27993	26851	1.56035	1.56035	3.88716
contig_26483	5623	0	0	0
contig_29912	1384	0	0	0
contig_15621	21916	14.0856	14.0856	65.3038
contig_7878	31757	2.252	2.252	5.91516
contig_21076	18481	0.0334406	0.0334406	0.0343873
contig_10690	10828	0.0545046	0.0545046	0.131321
contig_18900	16973	0.0922547	0.0922547	0.124906
contig_19954	8137	0.100914	0.100914	0.0907444
contig_20150	7134	0	0	0
contig_26136	75860	0.233879	0.233879	0.431413
contig_10423	2204	2.89192	2.89192	4.53775
contig_1171	21258	2.67496	2.67496	11.9745
contig_2460	7781	2.06382	2.06382	26.1411
contig_24263	17924	0	0	0
contig_2628	1007	0.269545	0.269545	0.451794
contig_27038	12362	0.0200622	0.0201441	0.0398857
contig_25066	33098	0.123042	0.123042	0.171945
contig_27517	52897	0.257929	0.257948	0.384826
contig_7470	12596	2.41282	2.41282	29.8451
contig_6410	3663	0	0	0
contig_9179	2.53171e+06	116.908	116.908	492.823
contig_634	11848	2.95375	2.95375	5.06969
contig_12161	6758	2.62318	2.62318	24.2588
contig_29514	44734	5.29504	5.29504	9.31328
contig_10508	6719	2.35013	2.35013	29.8692
contig_30825	11429	5.15338	5.15338	13.0532
contig_25415	7983	0.928508	0.928508	1.09701
contig_12174	82775	2.90263	2.90263	9.51758
contig_7367	15306	0.799881	0.799881	2.91395
contig_29560	84178	2.73093	2.73093	4.36633
contig_23938	2896	0.146759	0.146759	0.144216
contig_26274	25013	0.859832	0.859832	1.568
contig_25902	1631	0	0	0
contig_19193	12565	3.47853	3.47853	8.72927
contig_20954	14202	1.67136	1.67136	9.26113
contig_30324	23266	0.812554	0.812554	4.71068
contig_8122	4755	9.50879	9.50879	163.722
contig_7658	29623	6.10728	6.10728	59.4349
contig_6019	123730	5.15821	5.15821	36.742
contig_25720	10144	0	0	0
contig_27774	10913	4.66422	4.66422	21.9825
contig_2737	9234	5.16788	5.16788	34.7958
contig_14173	8236	1.10153	1.10153	2.73559
contig_21111	11209	0	0	0
contig_10370	12214	0.915865	0.915865	1.46825
contig_7992	9785	0.154645	0.154645	0.222923
contig_2394	3644	0	0	0
contig_1737	2898	2.48362	2.48362	11.9199
contig_30041	8987	0.368338	0.368338	0.4629
contig_12620	8135	8.03419	8.03419	17.4272
contig_10986	16608	0.697169	0.697169	1.86291
contig_29608	20787	5.68552	5.68552	26.2505
contig_9860	2262	8.86884	8.86884	18.7847
contig_9161	9506	0.684053	0.684053	1.09839
contig_28554	33068	0.205784	0.205784	0.317682
contig_29455	9642	6.18552	6.18552	44.5809
contig_2803	4349	2.60229	2.60229	4.30386
contig_28414	138996	1.62402	1.62402	2.26788
contig_30829	1697	5.37621	5.37621	9.32541
contig_24771	11857	3.97267	3.97267	9.51947
contig_467	7466	12.8938	12.8938	241.561
contig_26771	3277	0.0697154	0.0697154	0.134607
contig_22542	16966	0.604603	0.604603	0.849911
contig_17620	15010	0.0281292	0.0281292	0.0691828
contig_9076	9979	0	0	0
contig_15721	15906	0.537446	0.537446	0.663506
contig_14877	7627	0	0	0
contig_2742	28009	42.7559	42.7559	882.781
