Assembly	contigs(>=0bp)	contigs(>=1000bp)	contigs(>=5000bp)	contigs(>=10000bp)	contigs(>=25000bp)	contigs(>=50000bp)	Totallength(>=0bp)	Totallength(>=1000bp)	Totallength(>=5000bp)	Totallength(>=10000bp)	Totallength(>=25000bp)	Totallength(>=50000bp)	contigs	Largestcontig	Totallength	Referencelength	GC(%)	ReferenceGC(%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	misassemblies	misassembledcontigs	Misassembledcontigslength	localmisassemblies	unalignedmis.contigs	unalignedcontigs	Unalignedlength	Genomefraction(%)	Duplicationratio	N'sper100kbp	mismatchesper100kbp	indelsper100kbp	Largestalignment	Totalalignedlength	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Bacillus_subtilis_100	1	1	1	1	1	1	4045563	4045563	4045563	4045563	4045563	4045563	1	4045563	4045563	4045677	43.94	43.94	4045563	4045563	4045563	4045563	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.995	1.000	0.00	0.32	1.53	4045563	4045563	4045563	4045563	4045563	4045563	1	1	1	1
Bacillus_subtilis_10	1	1	1	1	1	1	4045545	4045545	4045545	4045545	4045545	4045545	1	4045545	4045545	4045677	43.94	43.94	4045545	4045545	4045545	4045545	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.996	1.000	0.00	0.69	1.16	4045545	4045545	4045545	4045545	4045545	4045545	1	1	1	1
Bacillus_subtilis_120	1	1	1	1	1	1	4045617	4045617	4045617	4045617	4045617	4045617	1	4045617	4045617	4045677	43.94	43.94	4045617	4045617	4045617	4045617	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.996	1.000	0.00	0.40	1.06	4045617	4045617	4045617	4045617	4045617	4045617	1	1	1	1
Bacillus_subtilis_140	1	1	1	1	1	1	4045608	4045608	4045608	4045608	4045608	4045608	1	4045608	4045608	4045677	43.94	43.94	4045608	4045608	4045608	4045608	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.996	1.000	0.00	0.40	1.09	4045608	4045608	4045608	4045608	4045608	4045608	1	1	1	1
Bacillus_subtilis_160	1	1	1	1	1	1	4045556	4045556	4045556	4045556	4045556	4045556	1	4045556	4045556	4045677	43.94	43.94	4045556	4045556	4045556	4045556	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.995	1.000	0.00	0.42	1.53	4045556	4045556	4045556	4045556	4045556	4045556	1	1	1	1
Bacillus_subtilis_20	1	1	1	1	1	1	4045558	4045558	4045558	4045558	4045558	4045558	1	4045558	4045558	4045677	43.94	43.94	4045558	4045558	4045558	4045558	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.995	1.000	0.00	0.42	1.38	4045558	4045558	4045558	4045558	4045558	4045558	1	1	1	1
Bacillus_subtilis_40	1	1	1	1	1	1	4045555	4045555	4045555	4045555	4045555	4045555	1	4045555	4045555	4045677	43.94	43.94	4045555	4045555	4045555	4045555	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.995	1.000	0.00	0.42	1.29	4045555	4045555	4045555	4045555	4045555	4045555	1	1	1	1
Bacillus_subtilis_5	18	18	18	18	16	16	3821399	3821399	3821399	3821399	3788522	3788522	18	520503	3821399	4045677	43.90	43.94	291308	265674	238362	200469	5	6	9	10	0	0	0	3	0	0 + 1 part	6147	94.109	1.002	0.00	37.24	15.68	516864	3810239	291308	265674	238362	200468	5	6	9	10
Bacillus_subtilis_60	1	1	1	1	1	1	4045537	4045537	4045537	4045537	4045537	4045537	1	4045537	4045537	4045677	43.94	43.94	4045537	4045537	4045537	4045537	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.996	1.000	0.00	0.40	1.01	4045537	4045537	4045537	4045537	4045537	4045537	1	1	1	1
Bacillus_subtilis_80	1	1	1	1	1	1	4045114	4045114	4045114	4045114	4045114	4045114	1	4045114	4045114	4045677	43.94	43.94	4045114	4045114	4045114	4045114	1	1	1	1	0	0	0	2	0	0 + 0 part	0	99.984	1.000	0.00	0.42	1.51	4045114	4045114	4045114	4045114	4045114	4045114	1	1	1	1
