bin	CDS_total	CDS_hypothetical	X16S	X23S	X5S	unique_tRNA	checkm_marker_lineage	Completeness	Contamination	Strain_heterogeneity	Genome_size_bp	ambiguous_bases	scaffolds	contigs	N50_scaffolds_	N50_contigs_	Mean_scaffold_length_bp	Mean_contig_length_bp	Longest_scaffold_bp	Longest_contig_bp	GC	GC_std_scaffolds__1kbp	Coding_density	predicted_genes	gtdb_classification	fastani_ani	fastani_af	closest_placement_reference	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	msa_percent	red_value	gtdb_warning	silva_taxonomy	mags_workflow_name	mags_workflow_date	mags_workflow_mode	MAG_status	cov_long	cov_ilm	Rabund_long	Rabund_ilm	cmseq_covered_bases	cmseq_polymorphic_bases	percent_snp_rate	cMAG_status	kaiju_domain	kaiju_phylum	AMR_count	VIR_count
bin.0000	1799	770	2	2	2	21	k__Bacteria (UID209)	98.31	0	0	1893620	15	5	5	1791647	1791632	378724	378721	1791647	1791632	35.6	0.65	84.68	1746	d__Bacteria;p__Caldatribacteriota;c__JS1;o__SB-45;f__UBA6794;g__UBA6794;s__	N/A	N/A	GCA_012520575.1	76.82	0.18	d__Bacteria;p__Caldatribacteriota;c__JS1;o__SB-45;f__UBA6794;g__UBA6794;s__	taxonomic classification defined by topology and ANI	88.07	0.8739970287468303	N/A	HQ184008.1.1509 Bacteria;Caldatribacteriota;JS1;uncultured bacterium	r9-il	2021-10-27	Nanopore-Illumina	HQ	16.303446	6.6285186	0.12754893	0.13172716	438798	9335	2.12740258615582	N	Bacteria	 Proteobacteria	0	0
bin.0001	4122	3083	0	1	0	13	k__Bacteria (UID2565)	43.9	1.15	0	4057829	122	141	141	33451	33437	28778	28778	145451	145451	64.1	1.11	79.41	4583	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Thermoguttaceae;g__JAAYCB01;s__	N/A	N/A	GCA_012744395.1	89.71	0.63	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Thermoguttaceae;g__;s__	taxonomic classification defined by topology and ANI	34.33	0.9706698666337018	N/A	NA	r9-il	2021-10-27	Nanopore-Illumina	LQ	4.2084484	2.0041208	0.03292452	0.039827477	24981	873	3.49465593851327	N	Bacteria	 Planctomycetes	0	0
bin.0002	3153	1594	1	1	1	20	c__Clostridia (UID1085)	86.31	2.04	0	3021642	81	55	55	91171	91171	54938	54937	188448	188448	44.8	1.97	81.83	3198	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__JAAYJK01;s__JAAYJK01 sp012520725	99.22	0.89	GCA_012520725.1	99.22	0.89	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__JAAYJK01;s__	taxonomic classification defined by topology and ANI	80.33	N/A	N/A	GQ138313.1.1348 Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;Syntrophomonas;uncultured bacterium	r9-il	2021-10-27	Nanopore-Illumina	MQ	6.5996857	3.2656343	0.051632207	0.06489727	81457	534	0.655560602526486	N	Bacteria	 Firmicutes	1	0
bin.0003	1380	625	2	2	2	18	k__Bacteria (UID2328)	86.67	2.67	50	1499994	7	16	16	230586	230586	93749	93749	300592	300592	47.3	2.67	90.77	1336	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__UBA3946;s__UBA3946 sp002385755	99.53	0.83	GCA_002385755.1	99.53	0.83	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__UBA3946;s__	taxonomic classification defined by topology and ANI	78.04	N/A	N/A	JF417903.1.1492 Bacteria;Firmicutes;Bacilli;Izemoplasmatales;uncultured bacterium	r9-il	2021-10-27	Nanopore-Illumina	MQ	187.55006	65.46272	1.4672856	1.300927	1454492	10760	0.739777186811615	N	Bacteria	 Firmicutes	0	0
bin.0004	2335	1113	2	4	2	20	o__Clostridiales (UID1212)	95.97	1.34	66.67	2443134	5	23	23	208755	208755	106223	106223	320369	320369	54.6	3.06	85.78	2281	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__UMGS1783;g__;s__	N/A	N/A	GCA_900555065.1	75.36	0.03	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__;g__;s__	taxonomic classification defined by topology and ANI	93.89	0.7547647531499919	N/A	KF550895.1.1451 Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Papillibacter;uncultured bacterium	r9-il	2021-10-27	Nanopore-Illumina	HQ	13.3707285	7.3009553	0.10460502	0.14509036	666031	3802	0.570844300040088	N	Bacteria	 Firmicutes	0	0
bin.0005	2420	1026	4	3	3	21	o__Clostridiales (UID1125)	98.17	0.63	50	2551322	13	29	29	326216	326216	87976	87976	627930	627930	34.9	3.38	85.02	2357	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__;s__	taxonomic classification fully defined by topology	94.34	0.808885790323798	N/A	GQ135120.1.1387 Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;W5053;uncultured bacterium	r9-il	2021-10-27	Nanopore-Illumina	HQ	22.259468	9.784422	0.17414549	0.19444376	1183232	8579	0.725048004110775	N	Bacteria	 Firmicutes	0	0
bin.0006	639	292	1	2	1	20	k__Bacteria (UID203)	79.6	0	0	565061	0	2	2	361626	361626	282530	282530	361626	361626	32.5	0.11	92.98	615	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5633;g__JAAZMU01;s__JAAZMU01 sp012798645	99.09	0.97	GCA_012798645.1	99.09	0.97	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5633;g__;s__	taxonomic classification defined by topology and ANI	66.77	N/A	N/A	CR933068.6.1306 Bacteria;Patescibacteria;Parcubacteria;32-520;uncultured bacterium	r9-il	2021-10-27	Nanopore-Illumina	MQ	69.21441	22.913185	0.54149437	0.45534894	540234	6824	1.26315633595812	N	Bacteria	 Unclassified	0	0
bin.0007	1236	420	1	1	1	20	k__Bacteria (UID2565)	94.29	0	0	1232151	0	2	2	623877	623877	616075	616075	623877	623877	40.4	0.99	91.9	1241	d__Bacteria;p__Ratteibacteria;c__UBA8468;o__B48-G9;f__B48-G9;g__JAAYXZ01;s__JAAYXZ01 sp012515635	99.59	1.0	GCA_012515635.1	99.59	1.0	d__Bacteria;p__Ratteibacteria;c__UBA8468;o__B48-G9;f__B48-G9;g__;s__	taxonomic classification defined by topology and ANI	80.74	N/A	N/A	AB924405.1.1476 Bacteria;uncultured;uncultured bacterium	r9-il	2021-10-27	Nanopore-Illumina	HQ	18.60288	7.5968513	0.14553842	0.15097064	359266	1374	0.382446432448381	N	Bacteria	 Synergistetes	0	0
bin.0008	1651	768	2	2	2	20	k__Bacteria (UID2328)	97.33	2.67	100	1703968	23	24	24	144059	144059	70998	70997	343703	343703	33.1	2.53	89.47	1597	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__DUOG01;s__DUOG01 sp012838945	99.33	0.87	GCA_012838945.1	99.33	0.87	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__;s__	taxonomic classification defined by topology and ANI	91.11	N/A	N/A	EU219945.1.1366 Bacteria;Firmicutes;Bacilli;Izemoplasmatales;uncultured bacterium	r9-il	2021-10-27	Nanopore-Illumina	HQ	25.207693	5.996098	0.19721074	0.1191592	282007	1088	0.385806026091551	N	Bacteria	 Firmicutes	0	0
bin.0009	3306	1904	1	1	1	20	p__Bacteroidetes (UID2605)	95.69	0.71	0	4013531	60	21	21	871905	871892	191120	191117	1457526	1457517	35.8	1.84	88.37	3320	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	92.06	0.8314595812689618	N/A	GU389675.1.1243 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;uncultured bacterium	r9-il	2021-10-27	Nanopore-Illumina	HQ	12.421096	5.2408967	0.09717563	0.10415125	423174	1486	0.351155789344336	N	Bacteria	 Bacteroidetes	1	0
