Assembly	contigs(>=0bp)	contigs(>=1000bp)	contigs(>=5000bp)	contigs(>=10000bp)	contigs(>=25000bp)	contigs(>=50000bp)	Totallength(>=0bp)	Totallength(>=1000bp)	Totallength(>=5000bp)	Totallength(>=10000bp)	Totallength(>=25000bp)	Totallength(>=50000bp)	contigs	Largestcontig	Totallength	Referencelength	GC(%)	ReferenceGC(%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	misassemblies	misassembledcontigs	Misassembledcontigslength	localmisassemblies	unalignedmis.contigs	unalignedcontigs	Unalignedlength	Genomefraction(%)	Duplicationratio	N'sper100kbp	mismatchesper100kbp	indelsper100kbp	Largestalignment	Totalalignedlength	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Bacillus_subtilis_100	1	1	1	1	1	1	4045498	4045498	4045498	4045498	4045498	4045498	1	4045498	4045498	4045677	43.94	43.94	4045498	4045498	4045498	4045498	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.996	1.000	0.00	0.40	2.20	4045498	4045498	4045498	4045498	4045498	4045498	1	1	1	1
Bacillus_subtilis_10	1	1	1	1	1	1	4040537	4040537	4040537	4040537	4040537	4040537	1	4040537	4040537	4045677	43.94	43.94	4040537	4040537	4040537	4040537	1	1	1	1	0	0	0	1	0	0 + 1 part	1665	99.837	1.000	0.00	7.33	38.05	4038872	4038872	4038872	4038872	4038872	4038872	1	1	1	1
Bacillus_subtilis_120	1	1	1	1	1	1	4045535	4045535	4045535	4045535	4045535	4045535	1	4045535	4045535	4045677	43.94	43.94	4045535	4045535	4045535	4045535	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.997	1.000	0.00	0.42	2.32	4045535	4045535	4045535	4045535	4045535	4045535	1	1	1	1
Bacillus_subtilis_140	1	1	1	1	1	1	4045532	4045532	4045532	4045532	4045532	4045532	1	4045532	4045532	4045677	43.94	43.94	4045532	4045532	4045532	4045532	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.996	1.000	0.00	0.40	2.37	4045532	4045532	4045532	4045532	4045532	4045532	1	1	1	1
Bacillus_subtilis_160	1	1	1	1	1	1	4045527	4045527	4045527	4045527	4045527	4045527	1	4045527	4045527	4045677	43.94	43.94	4045527	4045527	4045527	4045527	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.996	1.000	0.00	0.42	2.15	4045527	4045527	4045527	4045527	4045527	4045527	1	1	1	1
Bacillus_subtilis_20	1	1	1	1	1	1	4045425	4045425	4045425	4045425	4045425	4045425	1	4045425	4045425	4045677	43.94	43.94	4045425	4045425	4045425	4045425	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.997	1.000	0.00	0.57	5.14	4045425	4045425	4045425	4045425	4045425	4045425	1	1	1	1
Bacillus_subtilis_40	1	1	1	1	1	1	4045473	4045473	4045473	4045473	4045473	4045473	1	4045473	4045473	4045677	43.94	43.94	4045473	4045473	4045473	4045473	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.996	1.000	0.00	0.42	2.74	4045473	4045473	4045473	4045473	4045473	4045473	1	1	1	1
Bacillus_subtilis_5	12	12	12	12	12	12	3848505	3848505	3848505	3848505	3848505	3848505	12	981006	3848505	4045677	43.92	43.94	683108	683108	242198	216500	3	3	5	6	1	1	703155	1	0	0 + 2 part	5104	94.533	1.005	0.00	137.56	203.19	981006	3840252	458862	458862	242198	216473	3	3	6	7
Bacillus_subtilis_60	1	1	1	1	1	1	4045520	4045520	4045520	4045520	4045520	4045520	1	4045520	4045520	4045677	43.94	43.94	4045520	4045520	4045520	4045520	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.997	1.000	0.00	0.42	2.35	4045520	4045520	4045520	4045520	4045520	4045520	1	1	1	1
Bacillus_subtilis_80	1	1	1	1	1	1	4045524	4045524	4045524	4045524	4045524	4045524	1	4045524	4045524	4045677	43.94	43.94	4045524	4045524	4045524	4045524	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.997	1.000	0.00	0.44	2.35	4045524	4045524	4045524	4045524	4045524	4045524	1	1	1	1
Enterococcus_faecalis_100	1	1	1	1	1	1	2845356	2845356	2845356	2845356	2845356	2845356	1	2845356	2845356	2845392	37.52	37.52	2845356	2845356	2845356	2845356	1	1	1	1	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	2.50	5.10	2845356	2845356	2845356	2845356	2845356	2845356	1	1	1	1
Enterococcus_faecalis_10	1	1	1	1	1	1	2845409	2845409	2845409	2845409	2845409	2845409	1	2845409	2845409	2845392	37.52	37.52	2845409	2845409	2845409	2845409	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	16.34	47.30	2845337	2845337	2845337	2845337	2845337	2845337	1	1	1	1
Enterococcus_faecalis_120	1	1	1	1	1	1	2845342	2845342	2845342	2845342	2845342	2845342	1	2845342	2845342	2845392	37.52	37.52	2845342	2845342	2845342	2845342	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.60	4.64	2845342	2845342	2845342	2845342	2845342	2845342	1	1	1	1
Enterococcus_faecalis_140	1	1	1	1	1	1	2845353	2845353	2845353	2845353	2845353	2845353	1	2845353	2845353	2845392	37.52	37.52	2845353	2845353	2845353	2845353	1	1	1	1	0	0	0	0	0	0 + 0 part	0	100.000	1.000	0.00	2.64	4.71	2845353	2845353	2845353	2845353	2845353	2845353	1	1	1	1
Enterococcus_faecalis_160	1	1	1	1	1	1	2845336	2845336	2845336	2845336	2845336	2845336	1	2845336	2845336	2845392	37.52	37.52	2845336	2845336	2845336	2845336	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.57	5.03	2845336	2845336	2845336	2845336	2845336	2845336	1	1	1	1
Enterococcus_faecalis_20	1	1	1	1	1	1	2845239	2845239	2845239	2845239	2845239	2845239	1	2845239	2845239	2845392	37.52	37.52	2845239	2845239	2845239	2845239	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	3.13	13.67	2845239	2845239	2845239	2845239	2845239	2845239	1	1	1	1
Enterococcus_faecalis_40	1	1	1	1	1	1	2845271	2845271	2845271	2845271	2845271	2845271	1	2845271	2845271	2845392	37.52	37.52	2845271	2845271	2845271	2845271	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.78	7.59	2845271	2845271	2845271	2845271	2845271	2845271	1	1	1	1
Enterococcus_faecalis_5	13	13	13	13	13	12	2573441	2573441	2573441	2573441	2573441	2529886	13	725526	2573441	2845392	37.47	37.52	319821	319821	130158	101439	3	3	6	7	1	1	319821	2	0	0 + 1 part	5233	90.016	1.003	0.00	149.45	207.39	725344	2567196	214077	187915	130158	101439	3	4	7	8
Enterococcus_faecalis_60	1	1	1	1	1	1	2845309	2845309	2845309	2845309	2845309	2845309	1	2845309	2845309	2845392	37.52	37.52	2845309	2845309	2845309	2845309	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.57	6.12	2845309	2845309	2845309	2845309	2845309	2845309	1	1	1	1
Enterococcus_faecalis_80	1	1	1	1	1	1	2845302	2845302	2845302	2845302	2845302	2845302	1	2845302	2845302	2845392	37.52	37.52	2845302	2845302	2845302	2845302	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.60	5.87	2845302	2845302	2845302	2845302	2845302	2845302	1	1	1	1
Escherichia_coli_100	3	3	3	2	2	1	4824278	4824278	4824278	4814898	4814898	4765354	3	4765354	4824278	4875441	50.59	50.49	4765354	4765354	4765354	4765354	1	1	1	1	0	0	0	2	0	1 + 0 part	49544	97.743	1.002	0.00	12.82	2.60	4765354	4774641	4765354	4765354	4765354	4765354	1	1	1	1
Escherichia_coli_10	43	43	34	27	23	17	4748755	4748755	4721521	4672608	4588457	4334499	43	531966	4748755	4875441	50.56	50.49	465893	465893	164925	164925	5	5	10	10	1	1	473418	0	0	0 + 2 part	47818	96.276	1.002	0.00	23.69	29.57	531966	4700883	260729	260729	164925	164925	6	6	11	11
Escherichia_coli_120	3	3	3	2	2	1	4823405	4823405	4823405	4814752	4814752	4765212	3	4765212	4823405	4875441	50.59	50.49	4765212	4765212	4765212	4765212	1	1	1	1	0	0	0	4	0	1 + 0 part	49540	97.740	1.002	0.00	12.74	2.41	4765212	4773758	4765212	4765212	4765212	4765212	1	1	1	1
Escherichia_coli_140	2	2	2	2	2	1	4784651	4784651	4784651	4784651	4784651	4735111	2	4735111	4784651	4875441	50.62	50.49	4735111	4735111	4735111	4735111	1	1	1	1	1	1	4735111	0	0	1 + 0 part	49540	97.122	1.000	0.00	13.05	2.70	2754328	4735111	2754328	2754328	1980783	1980783	1	1	2	2
Escherichia_coli_160	2	2	2	2	2	1	4814762	4814762	4814762	4814762	4814762	4765207	2	4765207	4814762	4875441	50.59	50.49	4765207	4765207	4765207	4765207	1	1	1	1	0	0	0	0	0	1 + 0 part	49555	97.740	1.000	0.00	12.72	2.29	4765207	4765207	4765207	4765207	4765207	4765207	1	1	1	1
Escherichia_coli_20	2	2	2	2	2	1	4860197	4860197	4860197	4860197	4860197	4810585	2	4810585	4860197	4875441	50.60	50.49	4810585	4810585	4810585	4810585	1	1	1	1	1	1	4810585	0	0	1 + 1 part	94197	97.742	1.000	0.00	10.72	4.22	2634003	4766000	2634003	2634003	2131997	2131997	1	1	2	2
Escherichia_coli_40	2	2	2	2	2	1	4813328	4813328	4813328	4813328	4813328	4765354	2	4765354	4813328	4875441	50.59	50.49	4765354	4765354	4765354	4765354	1	1	1	1	0	0	0	0	0	1 + 0 part	47974	97.743	1.000	0.00	12.74	3.42	4765354	4765354	4765354	4765354	4765354	4765354	1	1	1	1
Escherichia_coli_5	76	76	68	58	42	29	3655589	3655589	3629223	3557408	3304125	2843494	76	202043	3655589	4875441	50.75	50.49	86363	66093	53285	-	14	23	28	-	7	4	453398	5	0	1 + 2 part	20185	74.449	1.002	0.00	155.72	155.41	180953	3633973	77399	66093	53285	-	17	25	30	-
Escherichia_coli_60	3	3	3	2	2	1	4824837	4824837	4824837	4814919	4814919	4765337	3	4765337	4824837	4875441	50.59	50.49	4765337	4765337	4765337	4765337	1	1	1	1	0	0	0	1	0	1 + 0 part	49582	97.743	1.002	0.00	12.78	2.87	4765337	4775255	4765337	4765337	4765337	4765337	1	1	1	1
Escherichia_coli_80	2	2	2	2	2	1	4814666	4814666	4814666	4814666	4814666	4765102	2	4765102	4814666	4875441	50.60	50.49	4765102	4765102	4765102	4765102	1	1	1	1	0	0	0	0	0	1 + 0 part	49564	97.738	1.000	0.00	12.78	2.69	4765102	4765102	4765102	4765102	4765102	4765102	1	1	1	1
Listeria_monocytogenes_100	1	1	1	1	1	1	2992016	2992016	2992016	2992016	2992016	2992016	1	2992016	2992016	2992342	37.95	37.96	2992016	2992016	2992016	2992016	1	1	1	1	0	0	0	3	0	0 + 0 part	0	99.973	1.000	0.00	2.07	2.64	2992016	2992016	2992016	2992016	2992016	2992016	1	1	1	1
Listeria_monocytogenes_10	1	1	1	1	1	1	2991970	2991970	2991970	2991970	2991970	2991970	1	2991970	2991970	2992342	37.95	37.96	2991970	2991970	2991970	2991970	1	1	1	1	0	0	0	3	0	0 + 0 part	0	99.973	1.000	0.00	7.32	29.52	2991970	2991970	2991970	2991970	2991970	2991970	1	1	1	1
Listeria_monocytogenes_120	1	1	1	1	1	1	2992020	2992020	2992020	2992020	2992020	2992020	1	2992020	2992020	2992342	37.95	37.96	2992020	2992020	2992020	2992020	1	1	1	1	0	0	0	3	0	0 + 0 part	0	99.973	1.000	0.00	2.07	2.34	2992020	2992020	2992020	2992020	2992020	2992020	1	1	1	1
Listeria_monocytogenes_140	1	1	1	1	1	1	2992016	2992016	2992016	2992016	2992016	2992016	1	2992016	2992016	2992342	37.95	37.96	2992016	2992016	2992016	2992016	1	1	1	1	0	0	0	3	0	0 + 0 part	0	99.973	1.000	0.00	2.11	1.84	2992016	2992016	2992016	2992016	2992016	2992016	1	1	1	1
Listeria_monocytogenes_160	1	1	1	1	1	1	2991994	2991994	2991994	2991994	2991994	2991994	1	2991994	2991994	2992342	37.95	37.96	2991994	2991994	2991994	2991994	1	1	1	1	0	0	0	3	0	0 + 0 part	0	99.973	1.000	0.00	2.21	2.07	2991994	2991994	2991994	2991994	2991994	2991994	1	1	1	1
Listeria_monocytogenes_20	1	1	1	1	1	1	2991962	2991962	2991962	2991962	2991962	2991962	1	2991962	2991962	2992342	37.95	37.96	2991962	2991962	2991962	2991962	1	1	1	1	0	0	0	3	0	0 + 0 part	0	99.973	1.000	0.00	2.47	7.42	2991962	2991962	2991962	2991962	2991962	2991962	1	1	1	1
Listeria_monocytogenes_40	1	1	1	1	1	1	2991965	2991965	2991965	2991965	2991965	2991965	1	2991965	2991965	2992342	37.95	37.96	2991965	2991965	2991965	2991965	1	1	1	1	0	0	0	3	0	0 + 0 part	0	99.973	1.000	0.00	2.07	4.28	2991965	2991965	2991965	2991965	2991965	2991965	1	1	1	1
Listeria_monocytogenes_5	5	5	5	5	5	5	2906132	2906132	2906132	2906132	2906132	2906132	5	788855	2906132	2992342	37.96	37.96	710349	710349	393970	393970	2	2	4	4	0	0	0	4	0	0 + 2 part	5273	96.756	1.002	0.00	178.74	213.97	788826	2900800	709736	709736	393970	393970	2	2	4	4
Listeria_monocytogenes_60	1	1	1	1	1	1	2991996	2991996	2991996	2991996	2991996	2991996	1	2991996	2991996	2992342	37.95	37.96	2991996	2991996	2991996	2991996	1	1	1	1	0	0	0	3	0	0 + 0 part	0	99.973	1.000	0.00	2.11	3.24	2991996	2991996	2991996	2991996	2991996	2991996	1	1	1	1
Listeria_monocytogenes_80	1	1	1	1	1	1	2992012	2992012	2992012	2992012	2992012	2992012	1	2992012	2992012	2992342	37.95	37.96	2992012	2992012	2992012	2992012	1	1	1	1	0	0	0	3	0	0 + 0 part	0	99.973	1.000	0.00	2.07	2.74	2992012	2992012	2992012	2992012	2992012	2992012	1	1	1	1
Pseudomonas_aeruginosa_100	1	1	1	1	1	1	6792118	6792118	6792118	6792118	6792118	6792118	1	6792118	6792118	6792330	66.17	66.17	6792118	6792118	6792118	6792118	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.997	1.000	0.00	9.73	1.40	6792060	6792060	6792060	6792060	6792060	6792060	1	1	1	1
Pseudomonas_aeruginosa_10	1	1	1	1	1	1	6792012	6792012	6792012	6792012	6792012	6792012	1	6792012	6792012	6792330	66.17	66.17	6792012	6792012	6792012	6792012	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.998	1.000	0.00	21.51	23.59	6791967	6791967	6791967	6791967	6791967	6791967	1	1	1	1
Pseudomonas_aeruginosa_120	1	1	1	1	1	1	6792134	6792134	6792134	6792134	6792134	6792134	1	6792134	6792134	6792330	66.17	66.17	6792134	6792134	6792134	6792134	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.997	1.000	0.00	9.70	1.30	6792076	6792076	6792076	6792076	6792076	6792076	1	1	1	1
Pseudomonas_aeruginosa_140	1	1	1	1	1	1	6792105	6792105	6792105	6792105	6792105	6792105	1	6792105	6792105	6792330	66.17	66.17	6792105	6792105	6792105	6792105	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.998	1.000	0.00	9.25	1.25	6792105	6792105	6792105	6792105	6792105	6792105	1	1	1	1
Pseudomonas_aeruginosa_160	1	1	1	1	1	1	6792153	6792153	6792153	6792153	6792153	6792153	1	6792153	6792153	6792330	66.17	66.17	6792153	6792153	6792153	6792153	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.997	1.000	0.00	9.73	1.33	6792095	6792095	6792095	6792095	6792095	6792095	1	1	1	1
Pseudomonas_aeruginosa_20	1	1	1	1	1	1	6792061	6792061	6792061	6792061	6792061	6792061	1	6792061	6792061	6792330	66.17	66.17	6792061	6792061	6792061	6792061	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.998	1.000	0.00	8.22	4.43	6792061	6792061	6792061	6792061	6792061	6792061	1	1	1	1
Pseudomonas_aeruginosa_40	1	1	1	1	1	1	6792088	6792088	6792088	6792088	6792088	6792088	1	6792088	6792088	6792330	66.17	66.17	6792088	6792088	6792088	6792088	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.998	1.000	0.00	9.28	2.28	6792088	6792088	6792088	6792088	6792088	6792088	1	1	1	1
Pseudomonas_aeruginosa_5	27	27	27	27	24	23	6526214	6526214	6526214	6526214	6468426	6437294	27	740442	6526214	6792330	66.13	66.17	364381	364381	237239	224255	7	7	12	13	1	1	151095	9	0	0 + 2 part	2514	95.927	1.001	0.00	234.68	194.82	740442	6520105	364381	364381	237204	224253	7	7	12	13
Pseudomonas_aeruginosa_60	1	1	1	1	1	1	6792108	6792108	6792108	6792108	6792108	6792108	1	6792108	6792108	6792330	66.17	66.17	6792108	6792108	6792108	6792108	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.997	1.000	0.00	9.72	1.71	6792050	6792050	6792050	6792050	6792050	6792050	1	1	1	1
Pseudomonas_aeruginosa_80	1	1	1	1	1	1	6792164	6792164	6792164	6792164	6792164	6792164	1	6792164	6792164	6792330	66.17	66.17	6792164	6792164	6792164	6792164	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.998	1.000	0.00	9.75	1.40	6792106	6792106	6792106	6792106	6792106	6792106	1	1	1	1
Salmonella_enterica_100	2	2	1	1	1	1	4761297	4761297	4757873	4757873	4757873	4757873	2	4757873	4761297	4759746	52.18	52.19	4757873	4757873	4757873	4757873	1	1	1	1	3	1	4757873	0	0	0 + 1 part	2846	99.930	1.000	0.00	0.50	1.68	2604991	4758229	2604991	2604991	1814934	1814934	1	1	2	2
Salmonella_enterica_10	21	21	20	20	16	16	4735702	4735702	4731062	4731062	4652220	4652220	21	775103	4735702	4759746	52.18	52.19	380182	380182	221129	221129	5	5	9	9	2	1	406045	0	0	0 + 0 part	0	99.357	1.001	0.00	10.15	28.31	775103	4733962	359661	359661	221129	214776	5	5	9	10
Salmonella_enterica_120	6	6	1	1	1	1	4776276	4776276	4757879	4757879	4757879	4757879	6	4757879	4776276	4759746	52.19	52.19	4757879	4757879	4757879	4757879	1	1	1	1	3	1	4757879	0	0	1 + 4 part	16189	99.930	1.001	0.00	0.46	1.39	2941795	4759865	2941795	2941795	1637392	1637392	1	1	2	2
Salmonella_enterica_140	6	6	3	1	1	1	4781702	4781702	4771903	4757919	4757919	4757919	6	4757919	4781702	4759746	52.18	52.19	4757919	4757919	4757919	4757919	1	1	1	1	3	1	4757919	0	0	3 + 2 part	22535	99.930	1.001	0.00	0.44	1.30	2941796	4758945	2941796	2941796	1406698	1406698	1	1	2	2
Salmonella_enterica_160	2	2	2	2	2	1	4807475	4807475	4807475	4807475	4807475	4757903	2	4757903	4807475	4759746	52.18	52.19	4757903	4757903	4757903	4757903	1	1	1	1	4	1	4757903	0	0	1 + 0 part	49572	99.930	1.000	0.00	0.50	1.70	1821614	4757681	1814936	1814936	1814936	1814936	2	2	2	2
Salmonella_enterica_20	1	1	1	1	1	1	4757821	4757821	4757821	4757821	4757821	4757821	1	4757821	4757821	4759746	52.18	52.19	4757821	4757821	4757821	4757821	1	1	1	1	3	1	4757821	0	0	0 + 0 part	0	99.930	1.000	0.00	0.71	4.79	2941736	4757599	2941736	2941736	1225753	1225753	1	1	2	2
Salmonella_enterica_40	2	2	1	1	1	1	4762393	4762393	4757878	4757878	4757878	4757878	2	4757878	4762393	4759746	52.18	52.19	4757878	4757878	4757878	4757878	1	1	1	1	3	1	4757878	0	0	0 + 1 part	4267	99.930	1.000	0.00	0.46	2.23	2941778	4757904	2941778	2941778	1637402	1637402	1	1	2	2
Salmonella_enterica_5	111	111	103	91	58	28	4214018	4214018	4187695	4099790	3527846	2482837	111	188428	4214018	4759746	52.22	52.19	59294	52227	32547	24860	22	27	46	60	5	3	189554	7	0	0 + 7 part	9500	88.029	1.003	0.00	192.91	193.70	188428	4201575	56731	48559	31772	21600	22	28	48	63
Salmonella_enterica_60	2	2	2	2	2	1	4783225	4783225	4783225	4783225	4783225	4757892	2	4757892	4783225	4759746	52.19	52.19	4757892	4757892	4757892	4757892	1	1	1	1	3	1	4757892	0	0	1 + 0 part	25333	99.930	1.000	0.00	0.44	1.56	2941793	4757670	2941793	2941793	1637406	1637406	1	1	2	2
Salmonella_enterica_80	3	3	2	1	1	1	4768583	4768583	4765945	4757884	4757884	4757884	3	4757884	4768583	4759746	52.19	52.19	4757884	4757884	4757884	4757884	1	1	1	1	3	1	4757884	0	1	0 + 2 part	8957	99.930	1.001	0.00	0.53	2.44	2941781	4759404	2941781	2941781	927935	927935	1	1	2	2
Staphylococcus_aureus_100	1	1	1	1	1	1	2718672	2718672	2718672	2718672	2718672	2718672	1	2718672	2718672	2730326	32.86	32.85	2718672	2718672	2718672	2718672	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.18	1.69	2718672	2718672	2718672	2718672	2718672	2718672	1	1	1	1
Staphylococcus_aureus_10	1	1	1	1	1	1	2718655	2718655	2718655	2718655	2718655	2718655	1	2718655	2718655	2730326	32.86	32.85	2718655	2718655	2718655	2718655	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.575	1.000	0.00	3.09	20.75	2718655	2718655	2718655	2718655	2718655	2718655	1	1	1	1
Staphylococcus_aureus_120	1	1	1	1	1	1	2718658	2718658	2718658	2718658	2718658	2718658	1	2718658	2718658	2730326	32.86	32.85	2718658	2718658	2718658	2718658	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.18	1.80	2718658	2718658	2718658	2718658	2718658	2718658	1	1	1	1
Staphylococcus_aureus_140	1	1	1	1	1	1	2718680	2718680	2718680	2718680	2718680	2718680	1	2718680	2718680	2730326	32.86	32.85	2718680	2718680	2718680	2718680	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.18	1.62	2718680	2718680	2718680	2718680	2718680	2718680	1	1	1	1
Staphylococcus_aureus_160	1	1	1	1	1	1	2718671	2718671	2718671	2718671	2718671	2718671	1	2718671	2718671	2730326	32.86	32.85	2718671	2718671	2718671	2718671	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.18	1.62	2718671	2718671	2718671	2718671	2718671	2718671	1	1	1	1
Staphylococcus_aureus_20	1	1	1	1	1	1	2718614	2718614	2718614	2718614	2718614	2718614	1	2718614	2718614	2730326	32.86	32.85	2718614	2718614	2718614	2718614	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.29	6.51	2718614	2718614	2718614	2718614	2718614	2718614	1	1	1	1
Staphylococcus_aureus_40	1	1	1	1	1	1	2718671	2718671	2718671	2718671	2718671	2718671	1	2718671	2718671	2730326	32.86	32.85	2718671	2718671	2718671	2718671	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.575	1.000	0.00	0.18	2.61	2718671	2718671	2718671	2718671	2718671	2718671	1	1	1	1
Staphylococcus_aureus_5	9	9	9	9	9	9	2684757	2684757	2684757	2684757	2684757	2684757	9	819215	2684757	2730326	32.70	32.85	685161	685161	175313	175313	2	2	5	5	1	1	685161	1	0	0 + 1 part	23875	97.168	1.003	0.00	202.79	209.46	819215	2659160	328582	328582	175313	175313	3	3	6	6
Staphylococcus_aureus_60	1	1	1	1	1	1	2718677	2718677	2718677	2718677	2718677	2718677	1	2718677	2718677	2730326	32.86	32.85	2718677	2718677	2718677	2718677	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.18	2.46	2718677	2718677	2718677	2718677	2718677	2718677	1	1	1	1
Staphylococcus_aureus_80	1	1	1	1	1	1	2718670	2718670	2718670	2718670	2718670	2718670	1	2718670	2718670	2730326	32.86	32.85	2718670	2718670	2718670	2718670	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.574	1.000	0.00	0.18	1.88	2718670	2718670	2718670	2718670	2718670	2718670	1	1	1	1
