contig	contig_len_bp	cov_long	cov_long_var	cov_ilm	cov_ilm_var	status_circular	status_repeat	graph_path	cmseq_total_covered_bases	total_polymorphic_bases	total_polymorphic_rate	dominant_allele_distr_mean	dominant_allele_distr_sd	domain	phylum	class	order	family	genus	species	AMR_count	VIR_count	mags_workflow_name	mags_workflow_date	mags_workflow_mode	bin
contig_1	3244070	212.651	794.628	724.895	4903.09	Y	N	1	3243688	77	2.37384113391917e-05	0.696728645791645	0.0690748263311822	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Fermentimonas	 Fermentimonas caenicola	1	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0125
contig_10	2564	0	0	4.32933	1.72283	N	Y	*,10,*	2436	56	0.0229885057471264	0.642606377784488	0.0804470316217192	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Cytophagaceae	 Spirosoma	 Spirosoma aerolatum	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_100	22325	1.13294	1.32557	3.39152	7.96687	N	Y	*,100	3299	29	0.00879054258866323	0.666562173458725	0.0766405503099996	Bacteria	 Bacteroidetes	 Unclassified	 Bacteroidetes Order II. Incertae sedis	 Rhodothermaceae	 Unclassified	 Rhodothermaceae bacterium RA	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0095
contig_1000	8198	0.604995	0.238988	12.564	5.1481	N	Y	1000	1817	43	0.0236653824986241	0.640635711951181	0.0872750397622698	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfobacterales	 Desulfobulbaceae	 Desulfotalea	 Desulfotalea psychrophila	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10007	17789	21.7757	12.7702	44.8186	100.223	N	Y	*,10007,*	17680	0	0	0	0	Bacteria	 Calditrichaeota	 Calditrichae	 Calditrichales	 Calditrichaceae	 Caldithrix	 Caldithrix abyssi	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0025
contig_10011	50933	4.45082	3.5153	4.29431	3.75871	N	N	*,10011	2347	0	0	0	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Petrimonas	 Petrimonas mucosa	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10015	12687	3.59927	0.312778	1.9196	0.896239	N	Y	*,10015,*	0	0	0	0	0	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Isosphaeraceae	 Singulisphaera	 Singulisphaera acidiphila	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10016	13800	3.76535	0.252726	1.99121	0.666584	N	Y	*,10016,*	0	0	0	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Methylobacteriaceae	 Methylobacterium	 Methylobacterium populi	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10017	14994	2.72797	0.364297	3.02735	5.28343	N	N	*,10017,*	334	15	0.0449101796407186	0.63677559912854	0.032708618321243	Bacteria	 Actinobacteria	 Actinobacteria	 Frankiales	 Frankiaceae	 Frankia	 Frankia inefficax	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10018	23835	3.92844	5.72391	4.19835	9.20838	N	N	*,10018,*	1789	184	0.102850754611515	0.638881693361603	0.0789104028526629	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	 Paenibacillus sp. Y412MC10	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10019	22288	2.23245	0.759854	2.37872	3.08116	N	N	*,10019,*	0	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptostreptococcaceae	 Clostridioides	 Clostridioides difficile	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0043
contig_10020	117171	4.65319	4.16647	11.4308	16.2656	N	N	*,10020,*	881	0	0	0	0	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Dokdonia	 Dokdonia sp. 4H-3-7-5	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0012
contig_10021	189649	7.17337	12.6819	12.7332	34.0153	N	N	*,10021,*	56988	1922	0.0337263985400435	0.679761078015944	0.0846089899240381	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Syntrophomonadaceae	 Syntrophothermus	 Syntrophothermus lipocalidus	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0113
contig_10022	56656	3.05008	3.36412	4.63156	15.1774	N	N	*,10022,*	1522	12	0.00788436268068331	0.614102564102564	0.102572115071639	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Eubacteriaceae	 Acetobacterium	 Acetobacterium woodii	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0150
contig_10024	129526	3.06459	2.41629	5.98641	10.2995	N	N	*,10024,*	1322	40	0.0302571860816944	0.630788984300014	0.0811093827432338	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfuromonadales	 Geobacteraceae	 Geobacter	 Unclassified	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10025	30335	3.69455	2.69144	2.28007	0.991161	N	N	*,10025,*	0	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Leuconostocaceae	 Leuconostoc	 Unclassified	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10026	59801	4.02074	0.62736	4.6022	4.80953	N	N	*,10026,*	3974	115	0.0289380976346251	0.64753880882721	0.0895078082921961	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Geosporobacter	 Geosporobacter ferrireducens	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10027	177079	3.86847	3.81871	4.6487	6.7452	N	N	*,12146,10027,*	2100	64	0.0304761904761905	0.630576218868958	0.114860230542297	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Syntrophobacterales	 Syntrophaceae	 Desulfobacca	 Desulfobacca acetoxidans	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0005
contig_10028	36479	3.80853	2.07883	3.75967	2.92324	N	N	*,10028,*	5	0	0	0	0	Bacteria	 Verrucomicrobia	 Opitutae	 Opitutales	 Opitutaceae	 Opitutus	 Opitutus terrae	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0005
contig_10029	121893	3.2062	3.67635	3.42001	4.39635	N	N	*,10029,*	337	1	0.0029673590504451	0.636363636363636	0	Bacteria	 Synergistetes	 Synergistia	 Synergistales	 Synergistaceae	 Cloacibacillus	 Cloacibacillus porcorum	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0136
contig_1003	51019	5.95557	15.106	26.4613	237.843	N	N	1003,13166	28560	252	0.00882352941176471	0.653681926000399	0.0928222369099152	Bacteria	 Spirochaetes	 Spirochaetia	 Spirochaetales	 Spirochaetaceae	 Sphaerochaeta	 Sphaerochaeta coccoides	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0164
contig_10030	33091	3.88109	24.2433	3.10194	25.7727	N	N	*,10030,*	1909	18	0.00942902042954426	0.621969696969697	0.0860310952627416	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium	 [Clostridium] clariflavum	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0098
contig_10031	6726	8.97765	0.0245946	60.0119	38.8896	Y	N	10031	6040	2	0.00033112582781457	0.75	0	Bacteria	 Thermotogae	 Thermotogae	 Petrotogales	 Unclassified	 Petrotoga	 Petrotoga mobilis	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10032	36144	4.68292	4.81125	7.33667	14.9567	N	Y	*,10032,*	4267	34	0.00796812749003984	0.622993980260416	0.0707273715019554	Bacteria	 Synergistetes	 Synergistia	 Synergistales	 Synergistaceae	 Aminobacterium	 Aminobacterium colombiense	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10034	14238	6.9704	1.42131	2.66212	2.74291	N	Y	*,10034,*	1642	15	0.00913520097442144	0.763686313686314	0.0186753967474734	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. TCU-HL1	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10035	14948	4.08082	4.27719	7.20827	11.6486	N	Y	*,10035,*	4070	34	0.00835380835380835	0.690033006209477	0.0880032188122908	Bacteria	 Synergistetes	 Synergistia	 Synergistales	 Synergistaceae	 Thermovirga	 Thermovirga lienii	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10039	13765	13.2711	4.4316	29.8663	107.583	N	Y	*,10039,*	12778	1	7.82595085302864e-05	0.666666666666667	0	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Cytophagaceae	 Dyadobacter	 Dyadobacter fermentans	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10041	133279	5.01777	4.69749	8.95497	14.6697	N	N	*,10041,*	15260	17	0.00111402359108781	0.683764274940745	0.0765744184129762	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium	 [Clostridium] stercorarium	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0069
contig_10042	4908	0.991803	0.00813271	3.3842	0.546903	N	Y	*,10042,*	0	0	0	0	0	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0128
contig_10043	28693	28.6943	35.8811	35.399	48.1203	N	Y	*,10043,*	26458	19	0.000718119283392547	0.690868604558853	0.0736220126201959	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Porphyromonas	 Porphyromonas asaccharolytica	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10045	36277	5.01135	7.34095	9.46489	15.5996	N	N	*,10045,*	879	22	0.025028441410694	0.637524596615506	0.0626804760548375	Bacteria	 Firmicutes	 Bacilli	 Unclassified	 Unclassified	 Unclassified	 Unclassified	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0036
contig_10046	125607	4.84305	4.87369	3.52785	3.93127	N	N	*,10046,*	470	15	0.0319148936170213	0.648658008658008	0.059125134784743	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Geobacillus	 Unclassified	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0005
contig_10047	84263	2.23949	1.68599	5.48784	7.05307	N	N	*,10047,*	1243	19	0.0152855993563958	0.628818549871181	0.0470018235258811	Bacteria	 Candidatus Cloacimonetes	 Unclassified	 Unclassified	 Unclassified	 Candidatus Cloacimonas	 Candidatus Cloacimonas acidaminovorans	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0099
contig_10048	115303	4.79278	4.78937	7.69903	12.9858	N	N	*,10048,*	5790	40	0.00690846286701209	0.628068181818182	0.069928529933995	Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacteraceae	 Tepidanaerobacter	 Tepidanaerobacter acetatoxydans	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0041
contig_10049	60691	3.10112	1.4334	17.7887	39.3772	N	N	*,10049,*	10919	34	0.00311383826357725	0.627728643905115	0.0814903134358191	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Lachnoclostridium	 [Clostridium] saccharolyticum	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0023
contig_1005	36382	3.13596	1.69015	2.3819	1.27894	N	N	*,1005,*	0	0	0	0	0	Bacteria	 Chloroflexi	 Anaerolineae	 Anaerolineales	 Anaerolineaceae	 Anaerolinea	 Anaerolinea thermophila	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10050	67541	3.57668	2.79586	5.5377	7.38269	N	N	*,10050,*	3068	35	0.0114080834419817	0.684551275055477	0.0548183605103833	Bacteria	 Synergistetes	 Synergistia	 Synergistales	 Synergistaceae	 Thermanaerovibrio	 Thermanaerovibrio acidaminovorans	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0095
contig_10051	120865	4.92571	3.77374	4.86838	7.26273	N	N	*,10051,*	622	0	0	0	0	Bacteria	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 Unclassified	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0101
contig_10053	86728	3.61995	3.97241	2.68761	2.77573	N	N	*,10053,*	732	33	0.0450819672131148	0.629201101928375	0.0628546068844554	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Bradyrhizobium	 Unclassified	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10054	50418	3.3696	2.34904	6.19679	9.49931	N	N	*,10054,*	546	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Alicyclobacillaceae	 Kyrpidia	 Kyrpidia tusciae	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0029
contig_10057	57901	2.90508	1.30796	2.11506	2.3474	N	N	*,10057,*	0	0	0	0	0	Bacteria	 Nitrospirae	 Nitrospira	 Nitrospirales	 Nitrospiraceae	 Leptospirillum	 Leptospirillum ferriphilum	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10059	11560	5.30351	0.91495	21.7187	29.8807	N	N	10059,-10058	8165	85	0.0104102878138396	0.724280919772269	0.0551233891043482	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	 Unclassified	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10060	231226	3.8689	2.6159	4.39731	4.80744	N	N	*,10060,*	1717	10	0.005824111822947	0.615909090909091	0.0568060593128554	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae	 Rhodospirillum	 Rhodospirillum centenum	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0005
contig_10061	46572	2.39055	3.76479	28.8106	1156.48	N	N	*,10061,*	21458	584	0.0272159567527263	0.670141948507568	0.085379273596803	Bacteria	 Actinobacteria	 Coriobacteriia	 Eggerthellales	 Eggerthellaceae	 Slackia	 Slackia heliotrinireducens	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10065	37814	2.46225	1.29054	4.67858	4.4558	N	N	-10064,10065,*	293	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Candidatus Desulforudis	 Candidatus Desulforudis audaxviator	0	0	pbccs	2021-09-02	Nanopore-Illumina	NA
contig_10066	29631	9.64611	32.4225	17.3464	33.3919	N	N	10066,-2269,2267	20998	59	0.00280979140870559	0.648952647231495	0.0858810705195262	Bacteria	 Spirochaetes	 Spirochaetia	 Spirochaetales	 Spirochaetaceae	 Treponema	 Treponema pedis	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0119
contig_10069	359021	4.12739	1.8756	3.57944	3.50872	N	N	*,10069,*	546	8	0.0146520146520147	0.654734848484849	0.0970360731041352	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Vulgatibacteraceae	 Vulgatibacter	 Vulgatibacter incomptus	0	0	pbccs	2021-09-02	Nanopore-Illumina	bin.0067
