contig	contig_len_bp	cov_long	cov_long_var	cov_ilm	cov_ilm_var	status_circular	status_repeat	graph_path	cmseq_total_covered_bases	total_polymorphic_bases	total_polymorphic_rate	dominant_allele_distr_mean	dominant_allele_distr_sd	domain	phylum	class	order	family	genus	species	AMR_count	VIR_count	mags_workflow_name	mags_workflow_date	mags_workflow_mode	bin
contig_1	2062	2.04393	0.480542	1.06224	7.48891	N	N	1,5,*	96	2	0.0208333333333333	0.727272727272727	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Desulfotomaculum	 Desulfotomaculum acetoxidans	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10	12396	3.97158	2.17104	5.55463	22.3528	N	N	*,10,*	5252	292	0.0555978674790556	0.659076959295699	0.0944441840983172	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Desulfotomaculum	 Desulfotomaculum acetoxidans	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10000	2709	3.18367	0.958417	1.69597	9.32386	N	N	*,10000,*	200	9	0.045	0.691264654009752	0.0927103124446384	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Heliobacteriaceae	 Heliobacterium	 Heliobacterium modesticaldum	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10001	41377	4.11184	4.85423	3.5347	11.8929	N	N	*,10001,*	4282	66	0.0154133582438113	0.624283381502633	0.0729401224458935	Bacteria	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 Unclassified	0	0	r10	2021-08-31	Nanopore-Illumina	bin.0116
contig_10002	5532	3.72371	2.34896	3.57061	9.49772	N	N	*,10002,*	2177	76	0.0349104271933854	0.658658665895508	0.0828313712475572	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptococcaceae	 Dehalobacter	 Unclassified	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10003	12710	3.56425	3.27948	3.50223	22.5761	N	N	*,10003,*	1193	5	0.00419111483654652	0.635489060489061	0.0671753030994143	Archaea	 Euryarchaeota	 Methanomicrobia	 Methanosarcinales	 Methanosarcinaceae	 Methanosarcina	 Methanosarcina barkeri	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10004	98941	6.95732	7.32751	7.13441	14.1635	N	N	*,10004,*	31464	69	0.00219298245614035	0.639306721979356	0.0781595987624132	Bacteria	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 Unclassified	0	0	r10	2021-08-31	Nanopore-Illumina	bin.0120
contig_10006	2637	0.334942	0.378921	1.22115	4.45146	N	Y	*,10006,*	450	33	0.0733333333333333	0.684887839433294	0.0878818442402304	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10007	1853	0.983558	0.0161809	0.189078	0.254463	N	N	*,10007,*	206	0	0	0	0	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10008	80662	40.85	61.7825	42.7774	178.561	Y	N	10008	79445	486	0.00611743973818365	0.675091251175752	0.0815428966451639	Bacteria	 Deferribacteres	 Deferribacteres	 Deferribacterales	 Deferribacteraceae	 Denitrovibrio	 Denitrovibrio acetiphilus	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10009	5026	6.03835	8.26398	5.55476	39.78	N	Y	*,10009,*	1649	31	0.0187992722862341	0.731506581146354	0.0416453759866667	Bacteria	 Deinococcus-Thermus	 Deinococci	 Deinococcales	 Deinococcaceae	 Deinococcus	 Deinococcus peraridilitoris	0	0	r10	2021-08-31	Nanopore-Illumina	bin.0084
contig_1001	43274	10.9171	23.3223	16.7214	136.301	N	N	*,1001,8778,*	38818	1386	0.0357050852697202	0.671095034058388	0.0918090251922889	Bacteria	 Firmicutes	 Clostridia	 Thermoanaerobacterales	 Thermoanaerobacterales Family III. Incertae Sedis	 Caldicellulosiruptor	 Caldicellulosiruptor owensensis	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10012	2811	5.56069	6.8893	9.91845	104.708	N	Y	*,10012,*	1283	1	0.000779423226812159	0.583333333333333	0	Bacteria	 Deinococcus-Thermus	 Deinococci	 Deinococcales	 Deinococcaceae	 Deinococcus	 Deinococcus peraridilitoris	0	0	r10	2021-08-31	Nanopore-Illumina	bin.0084
contig_10013	6065	2.23821	1.04217	1.80186	3.28071	N	N	*,10013,*	0	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium	 [Clostridium] cellulosi	0	0	r10	2021-08-31	Nanopore-Illumina	bin.0036
contig_10014	4049	5.62555	1.26046	8.72147	14.1588	N	N	*,10014,*	2458	40	0.016273393002441	0.642743706900516	0.0883246771969753	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10015	3214	2.82017	0.281403	1.20659	2.24688	N	N	*,10015,*	0	0	0	0	0	Archaea	 Euryarchaeota	 Methanomicrobia	 Methanomicrobiales	 Methanospirillaceae	 Methanospirillum	 Methanospirillum hungatei	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10016	32410	7.83556	13.3079	11.5203	50.2482	N	Y	*,10016,*	23090	406	0.0175833694239931	0.687553822268514	0.08223117174777	Bacteria	 Actinobacteria	 Actinobacteria	 Micrococcales	 Micrococcaceae	 Arthrobacter	 Arthrobacter sp. ERGS1:01	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10019	18862	3.50983	3.19325	4.61175	45.1982	N	N	*,10019,*	2273	13	0.00571931368235812	0.6529937572924	0.0883286326078985	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Ruminiclostridium	 [Clostridium] stercorarium	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_1002	40033	6.01186	9.84339	6.75817	17.7059	N	N	*,1002,*	12036	108	0.00897308075772682	0.636023684920743	0.0772223423807556	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Syntrophobacterales	 Syntrophaceae	 Syntrophus	 Syntrophus aciditrophicus	0	0	r10	2021-08-31	Nanopore-Illumina	NA
contig_10020	11541	4.11834	2.89034	5.56299	9.65904	N	N	*,10020,*	1585	2	0.00126182965299685	0.666666666666667	0.0833333333333333	Bacteria	 Bacteroidetes	 Chitinophagia	 Chitinophagales	 Chitinophagaceae	 Niastella	 Niastella koreensis	0	0	r10	2021-08-31	Nanopore-Illumina	bin.0083
