bin	CDS_total	CDS_hypothetical	X16S	X23S	X5S	unique_tRNA	checkm_marker_lineage	Completeness	Contamination	Strain_heterogeneity	Genome_size_bp	ambiguous_bases	scaffolds	contigs	N50_scaffolds_	N50_contigs_	Mean_scaffold_length_bp	Mean_contig_length_bp	Longest_scaffold_bp	Longest_contig_bp	GC	GC_std_scaffolds__1kbp	Coding_density	predicted_genes	gtdb_classification	fastani_ani	fastani_af	closest_placement_reference	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	msa_percent	red_value	gtdb_warning	silva_taxonomy	mags_workflow_name	mags_workflow_date	mags_workflow_mode	MAG_status	cov_long	cov_ilm	Rabund_long	Rabund_ilm	cmseq_covered_bases	cmseq_polymorphic_bases	percent_snp_rate	cMAG_status	kaiju_domain	kaiju_phylum	AMR_count	VIR_count
bin.0000	2215	1238	2	2	0	20	p__Bacteroidetes (UID2605)	95.95	5.95	21.43	2512613	0	27	27	394558	394558	93059	93059	484141	484141	29.8	6.28	86.94	2135	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__DTU049;g__DTU049;s__DTU049 sp001512885	99.94	0.99	GCA_001512885.1	99.94	0.99	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__DTU049;g__DTU049;s__	taxonomic classification defined by topology and ANI	88.52	N/A	N/A	CZCB01007045.46.1566 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium;anaerobic digester metagenome	r104	2021-11-03	Nanopore-Illumina	MQ	20.453644	15.9543295	0.53571033	0.33433655	1857075	6895	0.371282796871424	N	Bacteria	 Bacteroidetes	0	0
bin.0001	2485	1143	2	2	2	12	o__Clostridiales (UID1125)	95.1	1.03	50	2394301	0	114	114	39373	39373	21002	21002	135814	135814	35.3	2.22	84.69	2503	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__;s__	taxonomic classification fully defined by topology	84.4	0.8088313678516618	N/A	GQ133078.1.1391 Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;W5053;uncultured bacterium	r104	2021-11-03	Nanopore-Illumina	MQ	7.329372	10.515247	0.19196679	0.22035596	1157956	11977	1.03432254766157	N	Bacteria	 Firmicutes	1	0
bin.0002	4405	2539	2	0	0	20	p__Firmicutes (UID239)	68.76	10.29	15.38	3242460	0	225	225	19939	19939	14410	14410	131961	131961	49.6	1.3	83.03	4715	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU087;f__DTU087;g__JAAYSL01;s__	N/A	N/A	GCA_012518315.1	91.93	0.64	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU087;f__DTU087;g__;s__	taxonomic classification defined by topology and ANI	49.55	0.9670360480593675	Genome has more than 11.7% of markers with multiple hits	HQ156138.1.1370 Bacteria;Firmicutes;Limnochordia;Limnochordales;uncultured;uncultured prokaryote	r104	2021-11-03	Nanopore-Illumina	Contaminated	5.9044867	7.844562	0.154647	0.16438948	1208549	82964	6.86476096542217	N	Bacteria	 Firmicutes	0	0
bin.0003	1819	904	2	2	2	20	p__Bacteroidetes (UID2605)	93.71	0.95	0	2028047	0	6	6	1360876	1360876	338007	338007	1360876	1360876	45.7	3.17	94.25	1795	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__	N/A	N/A	GCA_012839605.1	81.63	0.75	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__	taxonomic classification defined by topology and ANI	95.35	0.9873976643840924	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	EF559196.1.1483 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;uncultured;uncultured bacterium	r104	2021-11-03	Nanopore-Illumina	HQ	53.628372	93.408104	1.4046042	1.9574463	2007038	3020	0.150470494330451	N	Bacteria	 Bacteroidetes	0	0
bin.0004	2658	1588	1	1	1	18	f__Spirochaetaceae (UID2535)	77.68	3.75	25	2205166	0	130	130	22580	22580	16962	16962	83955	83955	38.7	3.95	85.49	2860	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__JAAZLA01;s__JAAZLA01 sp012799545	98.35	0.87	GCA_012799545.1	98.35	0.87	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__;s__	taxonomic classification defined by topology and ANI	60.21	N/A	N/A	KC555222.1.1512 Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;uncultured Treponema sp.	r104	2021-11-03	Nanopore-Illumina	MQ	5.149205	4.934278	0.13486508	0.103401996	223481	4768	2.13351470594816	N	Bacteria	 Spirochaetes	0	0
bin.0005	2283	1457	0	0	0	13	k__Bacteria (UID2569)	61.43	1.08	50	1772150	0	109	109	24053	24053	16258	16258	63441	63441	30.6	1.29	83.38	2514	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ML635J-15;g__Bact-19;s__Bact-19 sp002412425	98.66	0.87	GCA_002412425.1	98.66	0.87	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ML635J-15;g__Bact-19;s__	taxonomic classification defined by topology and ANI	45.58	N/A	N/A	NA	r104	2021-11-03	Nanopore-Illumina	MQ	4.3853655	2.8580532	0.11485902	0.059892938	42935	1084	2.52474671014324	N	Bacteria	 Bacteroidetes	1	0
bin.0006	2582	1139	4	3	3	20	p__Firmicutes (UID241)	85.28	3.95	12.5	2317460	0	89	89	42980	42980	26038	26038	167307	167307	52.8	1.85	89.5	2654	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU010;g__UBA5420;s__UBA5420 sp012518325	99.42	0.9	GCA_012518325.1	99.42	0.9	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU010;g__UBA5420;s__	taxonomic classification defined by topology and ANI	82.01	N/A	N/A	HQ156145.1.1410 Bacteria;Firmicutes;Limnochordia;MBA03;uncultured prokaryote	r104	2021-11-03	Nanopore-Illumina	MQ	8.497662	16.103973	0.22256595	0.33747247	2026044	12185	0.601418330500226	N	Bacteria	 Firmicutes	0	0
bin.0007	1270	646	1	1	1	18	k__Bacteria (UID2329)	97.75	6.18	100	1286609	0	26	26	135644	135644	49484	49484	337470	337470	36	3.01	90.96	1227	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA1361;s__UBA1361 sp002306335	99.25	0.9	GCA_002306335.1	99.25	0.9	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA1361;s__	taxonomic classification defined by topology and ANI	84.16	N/A	N/A	MWCB01000006.811.2332 Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;UCG-004;Tenericutes bacterium ADurb.Bin239	r104	2021-11-03	Nanopore-Illumina	MQ	441.99216	305.88107	11.576409	6.409998	1261182	6853	0.543379147498141	N	Bacteria	 Firmicutes	0	0
bin.0008	4457	2835	2	1	1	20	k__Bacteria (UID2565)	93.08	1.7	50	4519674	0	64	64	132573	132573	70619	70619	318204	318204	59.4	1.64	86.1	4611	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalophaeraceae;g__B28-G16;s__	N/A	N/A	GCA_003644175.1	76.27	0.11	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalophaeraceae;g__;s__	taxonomic classification defined by topology and ANI	72.8	0.8934695663897835	N/A	KT223178.1.1480 Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;uncultured bacterium	r104	2021-11-03	Nanopore-Illumina	HQ	11.596243	15.552326	0.30372226	0.32591224	3798798	8250	0.217173958710097	N	Bacteria	 Planctomycetes	0	0
bin.0009	1792	1073	1	1	1	19	k__Bacteria (UID2495)	67.22	3.3	66.67	1755734	0	70	70	34729	34729	25081	25081	86403	86403	50.9	1.89	85.21	1899	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__UBA3900;s__UBA3900 sp002391675	96.64	0.76	GCA_002391675.1	96.64	0.76	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__UBA3900;s__	taxonomic classification defined by topology and ANI	57.1	N/A	N/A	JX102010.1.1365 Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;W27;uncultured Cloacimonetes bacterium	r104	2021-11-03	Nanopore-Illumina	MQ	4.6705523	7.427461	0.12232847	0.15564877	571413	27611	4.83205667354435	N	Bacteria	 Candidatus Cloacimonetes	0	0
