seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_8957	2532202	44	Y	N	2	*	8957
contig_2549	2342952	35	N	N	1	*	2549,-22938
contig_4685	2259662	42	N	N	2	*	-18169,4685,-25726
contig_1631	1767750	91	N	N	4	*	7790,7790,1631,*
contig_4201	1653530	154	N	N	6	*	8458,4201
contig_3660	1634340	38	N	N	1	*	5559,3660,8279,8280
contig_2364	1406345	23	N	N	1	*	*,2364
contig_1641	1363044	61	N	N	2	*	23581,-1657,1641,*
contig_998	1334707	42	N	N	2	*	-1008,998,-1009,-1007,-1023,-1010,-1009,-1007
contig_608	1261486	276	N	N	12	*	-23765,608
contig_9182	1237015	186	Y	N	8	*	9182
contig_3886	1152232	291	N	N	13	*	8201,3886,13579,-3142,3144
contig_3070	1151528	177	N	N	7	*	3070,-9544,-10369
contig_6693	1100984	39	N	N	2	*	6693,18169,18171
contig_1352	1092880	163	N	N	7	*	*,1352,5557,5556,5557
contig_4150	1073123	61	N	N	2	*	4150,*
contig_9643	1012863	17	N	N	1	*	-13781,9643
contig_763	927107	24	N	N	1	*	763,-1943,-1942
contig_1360	920484	185	N	N	8	*	-1349,1360,-24740,-24739
contig_5388	920357	146	N	N	6	*	5384,5388,-5384
contig_1230	864372	22	N	N	1	*	2001,2036,1230
contig_4027	808734	34	N	N	1	*	4027
contig_2168	798018	12	N	N	1	*	*,2168,*
contig_1205	752110	31	N	N	1	*	1205,2435
contig_5254	744746	170	N	N	7	*	24740,5254,24739
contig_7546	708050	16	N	N	1	*	7546
contig_7037	697543	18	N	N	1	*	-4736,7037
contig_2877	682433	13	N	N	1	*	*,2877,*
contig_1864	676818	18	N	N	1	*	2837,2863,1864
contig_2186	664096	25	N	N	1	*	-3912,3904,3906,3906,2186,3905
contig_6815	664023	281	N	N	12	*	9275,9276,6815,11738
contig_4053	658369	36	N	N	1	*	4053,*
contig_13226	656824	56	N	N	2	*	13226,*
contig_1662	651917	22	N	N	1	*	-8303,1662
contig_3457	647060	14	N	N	1	*	*,3457,*
contig_1923	632995	61	N	N	2	*	-3856,1923
contig_1503	609740	23	N	N	1	*	1503
contig_3267	605193	21	N	N	1	*	-23973,3267
contig_3703	594024	160	N	N	7	*	3703,5384
