contigName	contigLen	totalAvgDepth	1_cov.bam	1_cov.bam-var
contig_25895	5365	3.05676	3.05676	0.469695
contig_4881	3764	67.1328	67.1328	117.684
contig_4124	2902	6.26817	6.26817	4.23635
contig_28462	15941	5.67874	5.67874	21.6054
contig_24885	29166	3.49824	3.49824	2.08507
contig_22711	10669	4.26771	4.26771	1.84455
contig_26749	2832	3.32998	3.32998	0.6091
contig_11247	1410	2.16667	2.16667	1.97855
contig_482	20274	6.7092	6.7092	14.6819
contig_19998	5554	3.2685	3.2685	1.96807
contig_23782	3485	7.26117	7.26117	10.3866
contig_27993	26851	10.9676	10.9676	28.2192
contig_26483	5623	3.6216	3.6216	0.755383
contig_29912	1384	3.5389	3.5389	1.62256
contig_15621	21916	5.67812	5.67812	5.16184
contig_7878	31757	4.51745	4.51745	2.82168
contig_21076	18481	3.24625	3.24625	1.31106
contig_10690	10828	3.58054	3.58054	1.72948
contig_18900	16973	4.15788	4.15788	5.24713
contig_19954	8137	3.32666	3.32666	4.77815
contig_20150	7134	2.57231	2.57231	0.429522
contig_26136	75860	5.11734	5.11734	4.47474
contig_10423	2204	1.49611	1.49611	0.269588
contig_1171	21258	38.6625	38.6625	891.801
contig_2460	7781	6.0802	6.0802	9.56533
contig_24263	17924	3.63132	3.63132	1.55616
contig_2628	1007	2.40723	2.40723	0.330459
contig_27038	12362	4.33402	4.33402	1.14797
contig_25066	33098	4.39435	4.39435	2.08696
contig_27517	52897	4.47783	4.47783	2.78892
contig_7470	12596	6.04066	6.04066	9.6454
contig_6410	3663	7.02477	7.02477	2.14034
contig_9179	2.53171e+06	146.922	146.922	234.048
contig_634	11848	4.04274	4.04274	1.49826
contig_12161	6758	4.2049	4.20505	1.73251
contig_29514	44734	5.5151	5.5151	2.23955
contig_10508	6719	32.0381	32.0382	44.2473
contig_30825	11429	2.92774	2.92774	1.1559
contig_25415	7983	2.83506	2.83506	1.06882
contig_12174	82775	6.68681	6.68681	15.6022
contig_7367	15306	4.56453	4.56453	2.30693
contig_29560	84178	4.39093	4.39093	2.99786
contig_23938	2896	0.507648	0.507648	0.348397
contig_26274	25013	3.66159	3.66159	4.08973
contig_25902	1631	2.48143	2.48143	0.383612
contig_19193	12565	5.21538	5.21538	3.42166
contig_20954	14202	3.25833	3.25833	2.57726
contig_30324	23266	5.1117	5.11174	21.785
contig_8122	4755	10.5281	10.5281	35.2205
contig_7658	29623	19.9961	19.9961	68.0908
contig_6019	123730	8.21273	8.21273	45.6581
contig_25720	10144	2.51531	2.51531	0.615233
contig_27774	10913	30.0881	30.0881	34.6892
contig_2737	9234	5.70597	5.70597	17.9781
contig_14173	8236	8.52869	8.52869	7.78908
contig_21111	11209	17.121	17.121	57.6157
contig_10370	12214	2.77139	2.77139	1.09279
contig_7992	9785	1.81287	1.81287	2.49038
contig_2394	3644	6.1411	6.1411	1.71641
contig_1737	2898	3.56805	3.56805	2.05912
contig_30041	8987	3.62974	3.62974	1.04512
contig_12620	8135	5.73175	5.73175	10.5789
contig_10986	16608	23.3287	23.3287	754.676
contig_29608	20787	7.36284	7.36284	19.4327
contig_9860	2262	10.9115	10.9115	5.21574
contig_9161	9506	3.32802	3.32802	2.43566
contig_28554	33068	7.32417	7.32417	20.4711
contig_29455	9642	12.765	12.765	214.445
contig_2803	4349	6.8783	6.8783	3.92964
contig_28414	138996	6.51536	6.51536	5.98185
contig_30829	1697	8.28378	8.28378	16.7984
contig_24771	11857	3.51755	3.51755	2.76964
contig_467	7466	3.51709	3.51709	1.80175
contig_26771	3277	1.72338	1.72338	0.212969
contig_22542	16966	4.08694	4.08694	2.64178
contig_17620	15010	2.54004	2.54004	0.728244
